client_id,round_number,hierarchy,num_samples,set,accuracy,loss
The_Complete_Works_of_William_Shakespeare_AN_ALARUM,0,,83,test,1.0,4.37420654296875
The_Complete_Works_of_William_Shakespeare_AT_OUR_QUAINT_SPIRITS,0,,369,test,0.034482758620689655,4.381679058074951
The_Complete_Works_of_William_Shakespeare_FRIEND,0,,152,test,0.125,4.380932331085205
The_Complete_Works_of_William_Shakespeare_MY_ILL_SUSPICION,0,,2746,test,0.00749063670411985,4.3812079429626465
The_Complete_Works_of_William_Shakespeare_OBERON_ADVANCES,0,,358,test,0.03571428571428571,4.381195545196533
The_Complete_Works_of_William_Shakespeare_THE_HEAVY_GAIT_OF_NIGHT,0,,86,test,0.0,4.381393909454346
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,0,,463,test,0.0,4.382103443145752
The_Complete_Works_of_William_Shakespeare_YOU,0,,94,test,0.0,4.381659507751465
The_Complete_Works_of_William_Shakespeare_AN_ALARUM,2,,83,train,0.15853658536585366,3.4614830017089844
The_Complete_Works_of_William_Shakespeare_AT_OUR_QUAINT_SPIRITS,2,,369,train,0.1676470588235294,3.2424607276916504
The_Complete_Works_of_William_Shakespeare_FRIEND,2,,152,train,0.19444444444444445,3.2135746479034424
The_Complete_Works_of_William_Shakespeare_MY_ILL_SUSPICION,2,,2746,train,0.19402985074626866,3.104872226715088
The_Complete_Works_of_William_Shakespeare_OBERON_ADVANCES,2,,358,train,0.18484848484848485,3.1493823528289795
The_Complete_Works_of_William_Shakespeare_THE_HEAVY_GAIT_OF_NIGHT,2,,86,train,0.17647058823529413,3.1045496463775635
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,2,,463,train,0.18160377358490565,3.080416202545166
The_Complete_Works_of_William_Shakespeare_YOU,2,,94,train,0.18478260869565216,3.1192984580993652
The_Complete_Works_of_William_Shakespeare_AN_ALARUM,2,,83,test,1.0,1.5888718366622925
The_Complete_Works_of_William_Shakespeare_AT_OUR_QUAINT_SPIRITS,2,,369,test,0.1724137931034483,3.3731348514556885
The_Complete_Works_of_William_Shakespeare_FRIEND,2,,152,test,0.25,2.658672332763672
The_Complete_Works_of_William_Shakespeare_MY_ILL_SUSPICION,2,,2746,test,0.18726591760299627,3.4113948345184326
The_Complete_Works_of_William_Shakespeare_OBERON_ADVANCES,2,,358,test,0.17857142857142858,2.9027016162872314
The_Complete_Works_of_William_Shakespeare_THE_HEAVY_GAIT_OF_NIGHT,2,,86,test,0.0,4.911117076873779
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,2,,463,test,0.23076923076923078,3.057319402694702
The_Complete_Works_of_William_Shakespeare_YOU,2,,94,test,0.5,2.425837993621826
The_Complete_Works_of_William_Shakespeare_AN_ALARUM,4,,83,train,0.18292682926829268,3.261012315750122
The_Complete_Works_of_William_Shakespeare_AT_OUR_QUAINT_SPIRITS,4,,369,train,0.20294117647058824,3.011964797973633
The_Complete_Works_of_William_Shakespeare_FRIEND,4,,152,train,0.22916666666666666,3.0197083950042725
The_Complete_Works_of_William_Shakespeare_MY_ILL_SUSPICION,4,,2746,train,0.21863654699475596,2.8479161262512207
The_Complete_Works_of_William_Shakespeare_OBERON_ADVANCES,4,,358,train,0.22424242424242424,2.8832905292510986
