client_id,round_number,hierarchy,num_samples,set,accuracy,loss
The_Complete_Works_of_William_Shakespeare_ALARUM,0,,1258,test,0.03389830508474576,4.381045818328857
The_Complete_Works_of_William_Shakespeare_AND_SUMMON_HIM_TO_MARRIAGE,0,,202,test,0.0,4.380732536315918
The_Complete_Works_of_William_Shakespeare_FLOURISH_OF_CORNETS,0,,103,test,0.0,4.380866527557373
The_Complete_Works_of_William_Shakespeare_IT,0,,237,test,0.0,4.3815765380859375
The_Complete_Works_of_William_Shakespeare_SCENE_II,0,,852,test,0.0,4.381303310394287
The_Complete_Works_of_William_Shakespeare_SCENE_X,0,,83,test,0.0,4.382707595825195
The_Complete_Works_of_William_Shakespeare_SLEEPING_HOURS_EXCEPTED,0,,325,test,0.0,4.382030487060547
The_Complete_Works_of_William_Shakespeare_WITH_INWARD_VICE,0,,1061,test,0.02040816326530612,4.381894111633301
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,0,,463,test,0.0,4.382103443145752
The_Complete_Works_of_William_Shakespeare_ALARUM,2,,1258,train,0.15263157894736842,3.2882676124572754
The_Complete_Works_of_William_Shakespeare_AND_SUMMON_HIM_TO_MARRIAGE,2,,202,train,0.1746031746031746,3.316605806350708
The_Complete_Works_of_William_Shakespeare_FLOURISH_OF_CORNETS,2,,103,train,0.19,3.0637073516845703
The_Complete_Works_of_William_Shakespeare_IT,2,,237,train,0.19004524886877827,3.1358861923217773
The_Complete_Works_of_William_Shakespeare_SCENE_II,2,,852,train,0.17571059431524547,3.1934309005737305
The_Complete_Works_of_William_Shakespeare_SCENE_X,2,,83,train,0.18292682926829268,3.2912490367889404
The_Complete_Works_of_William_Shakespeare_SLEEPING_HOURS_EXCEPTED,2,,325,train,0.18,3.1042070388793945
The_Complete_Works_of_William_Shakespeare_WITH_INWARD_VICE,2,,1061,train,0.17964693665628245,3.1029739379882812
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,2,,463,train,0.18160377358490565,3.121403455734253
The_Complete_Works_of_William_Shakespeare_ALARUM,2,,1258,test,0.16101694915254236,3.282698392868042
The_Complete_Works_of_William_Shakespeare_AND_SUMMON_HIM_TO_MARRIAGE,2,,202,test,0.15384615384615385,3.6453511714935303
The_Complete_Works_of_William_Shakespeare_FLOURISH_OF_CORNETS,2,,103,test,0.3333333333333333,2.827260971069336
The_Complete_Works_of_William_Shakespeare_IT,2,,237,test,0.1875,3.0977585315704346
The_Complete_Works_of_William_Shakespeare_SCENE_II,2,,852,test,0.14102564102564102,3.394024610519409
The_Complete_Works_of_William_Shakespeare_SCENE_X,2,,83,test,1.0,1.979981541633606
The_Complete_Works_of_William_Shakespeare_SLEEPING_HOURS_EXCEPTED,2,,325,test,0.16,3.4010114669799805
The_Complete_Works_of_William_Shakespeare_WITH_INWARD_VICE,2,,1061,test,0.19387755102040816,3.0649635791778564
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,2,,463,test,0.23076923076923078,2.991215944290161
The_Complete_Works_of_William_Shakespeare_ALARUM,4,,1258,train,0.15263157894736842,3.274965524673462
The_Complete_Works_of_William_Shakespeare_AND_SUMMON_HIM_TO_MARRIAGE,4,,202,train,0.1746031746031746,3.3136634826660156
The_Complete_Works_of_William_Shakespeare_FLOURISH_OF_CORNETS,4,,103,train,0.19,3.059838056564331
The_Complete_Works_of_William_Shakespeare_IT,4,,237,train,0.19004524886877827,3.1397249698638916
The_Complete_Works_of_William_Shakespeare_SCENE_II,4,,852,train,0.17571059431524547,3.17748761177063
The_Complete_Works_of_William_Shakespeare_SCENE_X,4,,83,train,0.18292682926829268,3.2996885776519775
The_Complete_Works_of_William_Shakespeare_SLEEPING_HOURS_EXCEPTED,4,,325,train,0.18,3.08971905708313
The_Complete_Works_of_William_Shakespeare_WITH_INWARD_VICE,4,,1061,train,0.17964693665628245,3.097566604614258
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,4,,463,train,0.18160377358490565,3.1217236518859863
The_Complete_Works_of_William_Shakespeare_ALARUM,4,,1258,test,0.16101694915254236,3.2645652294158936
The_Complete_Works_of_William_Shakespeare_AND_SUMMON_HIM_TO_MARRIAGE,4,,202,test,0.15384615384615385,3.6529223918914795
The_Complete_Works_of_William_Shakespeare_FLOURISH_OF_CORNETS,4,,103,test,0.3333333333333333,2.802797317504883
The_Complete_Works_of_William_Shakespeare_IT,4,,237,test,0.1875,3.10062313079834
The_Complete_Works_of_William_Shakespeare_SCENE_II,4,,852,test,0.14102564102564102,3.3783600330352783
The_Complete_Works_of_William_Shakespeare_SCENE_X,4,,83,test,1.0,2.0714049339294434
The_Complete_Works_of_William_Shakespeare_SLEEPING_HOURS_EXCEPTED,4,,325,test,0.16,3.3675551414489746
The_Complete_Works_of_William_Shakespeare_WITH_INWARD_VICE,4,,1061,test,0.19387755102040816,3.0628151893615723
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,4,,463,test,0.23076923076923078,2.9863710403442383
The_Complete_Works_of_William_Shakespeare_ALARUM,6,,1258,train,0.15263157894736842,3.264878988265991
The_Complete_Works_of_William_Shakespeare_AND_SUMMON_HIM_TO_MARRIAGE,6,,202,train,0.1746031746031746,3.3055782318115234
The_Complete_Works_of_William_Shakespeare_FLOURISH_OF_CORNETS,6,,103,train,0.19,3.0434536933898926
The_Complete_Works_of_William_Shakespeare_IT,6,,237,train,0.19004524886877827,3.1262447834014893
The_Complete_Works_of_William_Shakespeare_SCENE_II,6,,852,train,0.17571059431524547,3.158686876296997
The_Complete_Works_of_William_Shakespeare_SCENE_X,6,,83,train,0.18292682926829268,3.290766716003418
The_Complete_Works_of_William_Shakespeare_SLEEPING_HOURS_EXCEPTED,6,,325,train,0.18,3.077291250228882
The_Complete_Works_of_William_Shakespeare_WITH_INWARD_VICE,6,,1061,train,0.17964693665628245,3.079740524291992
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,6,,463,train,0.18160377358490565,3.097923994064331
The_Complete_Works_of_William_Shakespeare_ALARUM,6,,1258,test,0.16101694915254236,3.2510738372802734
The_Complete_Works_of_William_Shakespeare_AND_SUMMON_HIM_TO_MARRIAGE,6,,202,test,0.15384615384615385,3.6603786945343018
The_Complete_Works_of_William_Shakespeare_FLOURISH_OF_CORNETS,6,,103,test,0.3333333333333333,2.848841667175293
The_Complete_Works_of_William_Shakespeare_IT,6,,237,test,0.1875,3.1024889945983887
The_Complete_Works_of_William_Shakespeare_SCENE_II,6,,852,test,0.14102564102564102,3.360503673553467
The_Complete_Works_of_William_Shakespeare_SCENE_X,6,,83,test,1.0,1.9228276014328003
The_Complete_Works_of_William_Shakespeare_SLEEPING_HOURS_EXCEPTED,6,,325,test,0.16,3.3595125675201416
The_Complete_Works_of_William_Shakespeare_WITH_INWARD_VICE,6,,1061,test,0.19387755102040816,3.055922746658325
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,6,,463,test,0.23076923076923078,2.9868462085723877
The_Complete_Works_of_William_Shakespeare_ALARUM,8,,1258,train,0.15263157894736842,3.2470762729644775
The_Complete_Works_of_William_Shakespeare_AND_SUMMON_HIM_TO_MARRIAGE,8,,202,train,0.1746031746031746,3.271847724914551
The_Complete_Works_of_William_Shakespeare_FLOURISH_OF_CORNETS,8,,103,train,0.19,3.05698823928833
The_Complete_Works_of_William_Shakespeare_IT,8,,237,train,0.19004524886877827,3.1042912006378174
The_Complete_Works_of_William_Shakespeare_SCENE_II,8,,852,train,0.17571059431524547,3.191619396209717
The_Complete_Works_of_William_Shakespeare_SCENE_X,8,,83,train,0.18292682926829268,3.298966884613037
The_Complete_Works_of_William_Shakespeare_SLEEPING_HOURS_EXCEPTED,8,,325,train,0.18,3.074814558029175
The_Complete_Works_of_William_Shakespeare_WITH_INWARD_VICE,8,,1061,train,0.17964693665628245,3.0771379470825195
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,8,,463,train,0.18160377358490565,3.0842392444610596
The_Complete_Works_of_William_Shakespeare_ALARUM,8,,1258,test,0.16101694915254236,3.2460575103759766
The_Complete_Works_of_William_Shakespeare_AND_SUMMON_HIM_TO_MARRIAGE,8,,202,test,0.15384615384615385,3.599921703338623
The_Complete_Works_of_William_Shakespeare_FLOURISH_OF_CORNETS,8,,103,test,0.3333333333333333,2.7076854705810547
The_Complete_Works_of_William_Shakespeare_IT,8,,237,test,0.1875,3.0686159133911133
The_Complete_Works_of_William_Shakespeare_SCENE_II,8,,852,test,0.14102564102564102,3.3827264308929443
The_Complete_Works_of_William_Shakespeare_SCENE_X,8,,83,test,1.0,1.848503828048706
The_Complete_Works_of_William_Shakespeare_SLEEPING_HOURS_EXCEPTED,8,,325,test,0.16,3.345548391342163
The_Complete_Works_of_William_Shakespeare_WITH_INWARD_VICE,8,,1061,test,0.19387755102040816,3.0614185333251953
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,8,,463,test,0.23076923076923078,2.981424331665039
The_Complete_Works_of_William_Shakespeare_ALARUM,10,,1258,train,0.15263157894736842,3.2574989795684814
The_Complete_Works_of_William_Shakespeare_AND_SUMMON_HIM_TO_MARRIAGE,10,,202,train,0.1746031746031746,3.297999858856201
The_Complete_Works_of_William_Shakespeare_FLOURISH_OF_CORNETS,10,,103,train,0.19,3.0443122386932373
The_Complete_Works_of_William_Shakespeare_IT,10,,237,train,0.19004524886877827,3.1112265586853027
The_Complete_Works_of_William_Shakespeare_SCENE_II,10,,852,train,0.17571059431524547,3.1560935974121094
The_Complete_Works_of_William_Shakespeare_SCENE_X,10,,83,train,0.18292682926829268,3.290407419204712
The_Complete_Works_of_William_Shakespeare_SLEEPING_HOURS_EXCEPTED,10,,325,train,0.18,3.0708024501800537
The_Complete_Works_of_William_Shakespeare_WITH_INWARD_VICE,10,,1061,train,0.17964693665628245,3.071255683898926
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,10,,463,train,0.18160377358490565,3.086334466934204
The_Complete_Works_of_William_Shakespeare_ALARUM,10,,1258,test,0.16101694915254236,3.2460882663726807
The_Complete_Works_of_William_Shakespeare_AND_SUMMON_HIM_TO_MARRIAGE,10,,202,test,0.15384615384615385,3.666412830352783
The_Complete_Works_of_William_Shakespeare_FLOURISH_OF_CORNETS,10,,103,test,0.3333333333333333,2.8082847595214844
The_Complete_Works_of_William_Shakespeare_IT,10,,237,test,0.1875,3.0965867042541504
The_Complete_Works_of_William_Shakespeare_SCENE_II,10,,852,test,0.14102564102564102,3.3556225299835205
The_Complete_Works_of_William_Shakespeare_SCENE_X,10,,83,test,1.0,1.921738624572754
The_Complete_Works_of_William_Shakespeare_SLEEPING_HOURS_EXCEPTED,10,,325,test,0.16,3.3445565700531006
The_Complete_Works_of_William_Shakespeare_WITH_INWARD_VICE,10,,1061,test,0.19387755102040816,3.0513386726379395
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,10,,463,test,0.23076923076923078,2.981930732727051
The_Complete_Works_of_William_Shakespeare_ALARUM,12,,1258,train,0.15263157894736842,3.296898126602173
The_Complete_Works_of_William_Shakespeare_AND_SUMMON_HIM_TO_MARRIAGE,12,,202,train,0.1746031746031746,3.2945189476013184
The_Complete_Works_of_William_Shakespeare_FLOURISH_OF_CORNETS,12,,103,train,0.19,3.067458152770996
The_Complete_Works_of_William_Shakespeare_IT,12,,237,train,0.19004524886877827,3.086587429046631
The_Complete_Works_of_William_Shakespeare_SCENE_II,12,,852,train,0.17571059431524547,3.1303064823150635
The_Complete_Works_of_William_Shakespeare_SCENE_X,12,,83,train,0.18292682926829268,3.261256217956543
The_Complete_Works_of_William_Shakespeare_SLEEPING_HOURS_EXCEPTED,12,,325,train,0.18,3.066673517227173
The_Complete_Works_of_William_Shakespeare_WITH_INWARD_VICE,12,,1061,train,0.17964693665628245,3.0526721477508545
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,12,,463,train,0.18160377358490565,3.059854745864868
The_Complete_Works_of_William_Shakespeare_ALARUM,12,,1258,test,0.16101694915254236,3.266655206680298
The_Complete_Works_of_William_Shakespeare_AND_SUMMON_HIM_TO_MARRIAGE,12,,202,test,0.15384615384615385,3.7094674110412598
The_Complete_Works_of_William_Shakespeare_FLOURISH_OF_CORNETS,12,,103,test,0.3333333333333333,2.7564961910247803
The_Complete_Works_of_William_Shakespeare_IT,12,,237,test,0.1875,3.127747058868408
The_Complete_Works_of_William_Shakespeare_SCENE_II,12,,852,test,0.14102564102564102,3.3375134468078613
The_Complete_Works_of_William_Shakespeare_SCENE_X,12,,83,test,1.0,1.780142903327942
The_Complete_Works_of_William_Shakespeare_SLEEPING_HOURS_EXCEPTED,12,,325,test,0.16,3.343003034591675
The_Complete_Works_of_William_Shakespeare_WITH_INWARD_VICE,12,,1061,test,0.19387755102040816,3.0390281677246094
The_Complete_Works_of_William_Shakespeare_WITH_THY_BIRDBOLT_UNDER_THE_LEFT_PAP,12,,463,test,0.23076923076923078,2.9826838970184326
The_Complete_Works_of_William_Shakespeare_ALARUM,14,,1258,train,0.15263157894736842,3.2580766677856445
The_Complete_Works_of_William_Shakespeare_AND_SUMMON_HIM_TO_MARRIAGE,14,,202,train,0.1746031746031746,3.2916533946990967
The_Complete_Works_of_William_Shakespeare_FLOURISH_OF_CORNETS,14,,103,train,0.19,3.0470898151397705
The_Complete_Works_of_William_Shakespeare_IT,14,,237,train,0.19004524886877827,3.1059482097625732
The_Complete_Works_of_William_Shakespeare_SCENE_II,14,,852,train,0.17571059431524547,3.148089647293091
The_Complete_Works_of_William_Shakespeare_SCENE_X,14,,83,train,0.18292682926829268,3.28391432762146
The_Complete_Works_of_William_Shakespeare_SLEEPING_HOURS_EXCEPTED,14,,325,train,0.18,3.0676589012145996
The_Complete_Works_of_William_Shakespeare_WITH_INWARD_VICE,14,,1061,train,0.17964693665628245,3.0655148029327393
