client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime,sim_time_start,sim_time_end
f1763_25,1,,157,train,26414840,26414840,5545266300,1.0707966560003115,18.20975093099878,19.28054758699909
f0365_07,1,,285,train,26414840,26414840,9902261250,1.7483037160000094,19.288060167000367,21.036363883000377
f0610_38,1,,278,train,26414840,26414840,9902261250,1.6279886009997426,21.04295201199966,22.670940612999402
f1851_06,1,,136,train,26414840,26414840,4753085400,0.8619554519991652,22.67779206100022,23.539747512999384
f3841_01,1,,178,train,26414840,26414840,6337447200,1.025486450000244,23.547184985998683,24.572671435998927
f3758_19,1,,176,train,26414840,26414840,5941356750,1.0491847370012692,24.579524626999046,25.628709364000315
f0166_12,1,,311,train,26414840,26414840,10694442150,1.8691681519994745,25.635372685999755,27.50454083799923
f3230_21,1,,183,train,26414840,26414840,6337447200,1.1038896729987755,27.51146511600018,28.615354788998957
f1121_47,1,,238,train,26414840,26414840,8317899450,1.4677662499998405,28.62219267799992,30.08995892799976
f1472_37,1,,387,train,26414840,26414840,13467075300,2.284592067999256,30.096745517999807,32.38133758599906
f0114_20,1,,302,train,26414840,26414840,10694442150,1.8778802090000681,32.38815167800021,34.26603188700028
f2160_96,1,,176,train,26414840,26414840,5941356750,1.1128462169999693,34.27210059400022,35.38494681100019
f3904_45,1,,153,train,26414840,26414840,5149175850,1.06193140600044,35.39160320699921,36.45353461299965
f2499_74,1,,160,train,26414840,26414840,5545266300,0.9568158849997417,36.46033181100029,37.41714769600003
f3721_04,1,,179,train,26414840,26414840,6337447200,1.1263951500004623,37.4241291899998,38.550524340000266
f3465_24,1,,165,train,26414840,26414840,5545266300,1.000473960000818,38.55694609999955,39.55742006000037
f2346_88,1,,169,train,26414840,26414840,5941356750,1.0138239469997643,39.56397763299901,40.57780157999878
f2042_30,1,,166,train,26414840,26414840,5545266300,1.0252154979989427,40.584534743000404,41.60975024099935
f1512_39,1,,140,train,26414840,26414840,4753085400,0.9088023570002406,41.6163704849987,42.52517284199894
f3547_04,1,,170,train,26414840,26414840,5941356750,1.0459991509997053,42.531744720999995,43.5777438719997
f1425_23,1,,372,train,26414840,26414840,13070984850,2.31364025700168,43.58436070799871,45.89800096500039
f1026_41,1,,205,train,26414840,26414840,7129628100,1.259334194000985,45.904882191998695,47.16421638599968
f0703_11,1,,302,train,26414840,26414840,10694442150,1.818323538000186,47.16966418599986,48.98798772400005
f3368_37,1,,175,train,26414840,26414840,5941356750,1.0591765720000694,48.9950951589999,50.05427173099997
f0110_48,1,,413,train,26414840,26414840,14655346650,2.501708003001113,50.06123146899881,52.562939471999925
f1314_29,1,,302,train,26414840,26414840,10694442150,1.8008680689999892,52.56967077700028,54.37053884600027
f1651_06,1,,180,train,26414840,26414840,6337447200,1.1464595540001028,54.377080852998915,55.52354040699902
f3928_39,1,,170,train,26414840,26414840,5941356750,1.02112786699945,55.53018287899977,56.55131074599922
f0850_30,1,,329,train,26414840,26414840,11486623050,2.032681938000678,56.55869247899864,58.591374416999315
f1642_04,1,,153,train,26414840,26414840,5149175850,0.9106610149992775,58.59831630699955,59.50897732199883
f2126_57,1,,158,train,26414840,26414840,5545266300,0.9988799279999512,59.515773150000314,60.514653078000265
f1165_30,1,,180,train,26414840,26414840,6337447200,1.1489127290005854,60.521284496999215,61.6701972259998
f0547_28,1,,416,train,26414840,26414840,14655346650,2.5355963760011946,61.67752354999902,64.21311992600022
f1120_05,1,,401,train,26414840,26414840,14259256200,2.482980165999834,64.2200836159991,66.70306378199894
f3791_09,1,,163,train,26414840,26414840,5545266300,0.9630182620003325,66.70998020099978,67.67299846300011
f3632_10,1,,149,train,26414840,26414840,5149175850,0.9508999600002426,67.67992142399999,68.63082138400023
f0203_21,1,,427,train,26414840,26414840,15051437100,2.565445684000224,68.6376472769989,71.20309296099913
f0812_32,1,,380,train,26414840,26414840,13467075300,2.3102156419990934,71.20826193500034,73.51847757699943
f1793_33,1,,130,train,26414840,26414840,4356994950,0.8500742149990401,73.52550098000029,74.37557519499933
f2482_62,1,,171,train,26414840,26414840,5941356750,1.0138467380002112,74.38140867499897,75.39525541299918
f1527_46,1,,179,train,26414840,26414840,6337447200,1.1414268970002013,75.4021041069991,76.5435310039993
f1018_07,1,,145,train,26414840,26414840,5149175850,0.8746014940006717,76.55034362799961,77.42494512200028
f0461_47,1,,347,train,26414840,26414840,12278803950,2.1554774200012616,77.43186671699914,79.5873441370004
f0579_26,1,,167,train,26414840,26414840,5941356750,0.9903149460005807,79.59394749499916,80.58426244099974
f1835_27,1,,122,train,26414840,26414840,3960904500,0.7551995200010424,80.5909160859992,81.34611560600024
f1045_35,1,,161,train,26414840,26414840,5545266300,1.0017071359998226,81.3528971579999,82.35460429399973
