client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations,computingTime
f1763_25,1,,157,train,26414840,26414840,1848422100,0.6985529149997092
f0365_07,1,,285,train,26414840,26414840,3300753750,1.0760385160001533
f0610_38,1,,278,train,26414840,26414840,3300753750,1.0570296629998666
f1851_06,1,,136,train,26414840,26414840,1584361800,0.5133208140000534
f3841_01,1,,178,train,26414840,26414840,2112482400,0.6560524500000611
f3758_19,1,,176,train,26414840,26414840,1980452250,0.6651233819998197
f0166_12,1,,311,train,26414840,26414840,3564814050,1.079223219999676
f3230_21,1,,183,train,26414840,26414840,2112482400,0.6922671510001237
f1121_47,1,,238,train,26414840,26414840,2772633150,0.944166451000001
f1472_37,1,,387,train,26414840,26414840,4489025100,1.3827243470000212
f0114_20,1,,302,train,26414840,26414840,3564814050,1.1276346919999014
f2160_96,1,,176,train,26414840,26414840,1980452250,0.6194487610000579
f3904_45,1,,153,train,26414840,26414840,1716391950,0.6096852169998783
f2499_74,1,,160,train,26414840,26414840,1848422100,0.5429332310000063
f3721_04,1,,179,train,26414840,26414840,2112482400,0.7080691170003774
f3465_24,1,,165,train,26414840,26414840,1848422100,0.582789884000249
f2346_88,1,,169,train,26414840,26414840,1980452250,0.6257084080002642
f2042_30,1,,166,train,26414840,26414840,1848422100,0.5893819879997864
f1512_39,1,,140,train,26414840,26414840,1584361800,0.594584907999888
f3547_04,1,,170,train,26414840,26414840,1980452250,0.6785008619999644
f1763_25,2,,157,train,26414840,26414840,1848422100,0.6649233150001237
f0365_07,2,,285,train,26414840,26414840,3300753750,1.0575275880000845
f0610_38,2,,278,train,26414840,26414840,3300753750,1.1132082009999067
f1851_06,2,,136,train,26414840,26414840,1584361800,0.6305367310001202
f3841_01,2,,178,train,26414840,26414840,2112482400,0.6901464539996596
f3758_19,2,,176,train,26414840,26414840,1980452250,0.5790063629997348
f0166_12,2,,311,train,26414840,26414840,3564814050,1.1012941879998834
f3230_21,2,,183,train,26414840,26414840,2112482400,0.6664488600004006
f1121_47,2,,238,train,26414840,26414840,2772633150,0.9156044789997395
f1472_37,2,,387,train,26414840,26414840,4489025100,1.4558916999999383
f0114_20,2,,302,train,26414840,26414840,3564814050,1.092831767000007
f2160_96,2,,176,train,26414840,26414840,1980452250,0.6359023579998393
f3904_45,2,,153,train,26414840,26414840,1716391950,0.539295014000345
f2499_74,2,,160,train,26414840,26414840,1848422100,0.5954406789996938
f3721_04,2,,179,train,26414840,26414840,2112482400,0.6219348429999627
f3465_24,2,,165,train,26414840,26414840,1848422100,0.5144336250000379
f2346_88,2,,169,train,26414840,26414840,1980452250,0.5763187949996791
f2042_30,2,,166,train,26414840,26414840,1848422100,0.5698126990000674
f1512_39,2,,140,train,26414840,26414840,1584361800,0.5030476169999929
f3547_04,2,,170,train,26414840,26414840,1980452250,0.6258822409999993
f1763_25,3,,157,train,26414840,26414840,1848422100,0.5785348919998796
f0365_07,3,,285,train,26414840,26414840,3300753750,0.8813527839997732
f0610_38,3,,278,train,26414840,26414840,3300753750,0.5652428099997451
f1851_06,3,,136,train,26414840,26414840,1584361800,0.3520949379999365
f3841_01,3,,178,train,26414840,26414840,2112482400,0.349195188000067
f3758_19,3,,176,train,26414840,26414840,1980452250,0.3520594560000063
f0166_12,3,,311,train,26414840,26414840,3564814050,0.7055901039998389
f3230_21,3,,183,train,26414840,26414840,2112482400,0.36790793099999064
f1121_47,3,,238,train,26414840,26414840,2772633150,0.48152684300021065
f1472_37,3,,387,train,26414840,26414840,4489025100,0.8560270879997915
f0114_20,3,,302,train,26414840,26414840,3564814050,0.5985401269999784
f2160_96,3,,176,train,26414840,26414840,1980452250,0.3513269689997287
f3904_45,3,,153,train,26414840,26414840,1716391950,0.29433960400001524
f2499_74,3,,160,train,26414840,26414840,1848422100,0.40951114700010294
f3721_04,3,,179,train,26414840,26414840,2112482400,0.3641181099997084
f3465_24,3,,165,train,26414840,26414840,1848422100,0.3336813410001014
f2346_88,3,,169,train,26414840,26414840,1980452250,0.3611868640000466
f2042_30,3,,166,train,26414840,26414840,1848422100,0.4192251929998747
f1512_39,3,,140,train,26414840,26414840,1584361800,0.2799241239999901
f3547_04,3,,170,train,26414840,26414840,1980452250,0.35490861800008133
f1763_25,4,,157,train,26414840,26414840,1848422100,0.4147894570000972
f0365_07,4,,285,train,26414840,26414840,3300753750,0.6123903170000631
f0610_38,4,,278,train,26414840,26414840,3300753750,0.5535160320000614
f1851_06,4,,136,train,26414840,26414840,1584361800,0.35893743899987385
f3841_01,4,,178,train,26414840,26414840,2112482400,0.3523250979997101
f3758_19,4,,176,train,26414840,26414840,1980452250,0.3427130469999611
f0166_12,4,,311,train,26414840,26414840,3564814050,0.6313695600001665
f3230_21,4,,183,train,26414840,26414840,2112482400,0.4333352809999269
f1121_47,4,,238,train,26414840,26414840,2772633150,0.48637753100001646
f1472_37,4,,387,train,26414840,26414840,4489025100,0.8180299269997704
f0114_20,4,,302,train,26414840,26414840,3564814050,0.618810012999802
f2160_96,4,,176,train,26414840,26414840,1980452250,0.34033907699995325
f3904_45,4,,153,train,26414840,26414840,1716391950,0.3183642140002121
f2499_74,4,,160,train,26414840,26414840,1848422100,0.38849295399995754
f3721_04,4,,179,train,26414840,26414840,2112482400,0.3785185910001019
f3465_24,4,,165,train,26414840,26414840,1848422100,0.3302867719999085
f2346_88,4,,169,train,26414840,26414840,1980452250,0.3624424159997943
f2042_30,4,,166,train,26414840,26414840,1848422100,0.42403661399976045
f1512_39,4,,140,train,26414840,26414840,1584361800,0.2836999219998688
f3547_04,4,,170,train,26414840,26414840,1980452250,0.36149295299992446
f1763_25,5,,157,train,26414840,26414840,1848422100,0.3891040959997554
f0365_07,5,,285,train,26414840,26414840,3300753750,0.5778577319997567
f0610_38,5,,278,train,26414840,26414840,3300753750,0.5552549120002368
f1851_06,5,,136,train,26414840,26414840,1584361800,0.2828563600000962
f3841_01,5,,178,train,26414840,26414840,2112482400,0.43936612900006367
f3758_19,5,,176,train,26414840,26414840,1980452250,0.3530023630000869
f0166_12,5,,311,train,26414840,26414840,3564814050,0.6149560590001784
f3230_21,5,,183,train,26414840,26414840,2112482400,0.482782233999842
f1121_47,5,,238,train,26414840,26414840,2772633150,0.47420312499980355
f1472_37,5,,387,train,26414840,26414840,4489025100,0.7712417769998865
f0114_20,5,,302,train,26414840,26414840,3564814050,0.7137803290002012
f2160_96,5,,176,train,26414840,26414840,1980452250,0.357821968999815
f3904_45,5,,153,train,26414840,26414840,1716391950,0.3314482920000046
f2499_74,5,,160,train,26414840,26414840,1848422100,0.4194522220000181
f3721_04,5,,179,train,26414840,26414840,2112482400,0.3577987159997065
f3465_24,5,,165,train,26414840,26414840,1848422100,0.3262081540001418
f2346_88,5,,169,train,26414840,26414840,1980452250,0.3388192950001212
f2042_30,5,,166,train,26414840,26414840,1848422100,0.3443938820000767
f1512_39,5,,140,train,26414840,26414840,1584361800,0.3821231449996958
f3547_04,5,,170,train,26414840,26414840,1980452250,0.3396056729998236
f1763_25,6,,157,train,26414840,26414840,1848422100,0.3183487910000622
f0365_07,6,,285,train,26414840,26414840,3300753750,0.6468956109997634
f0610_38,6,,278,train,26414840,26414840,3300753750,0.5681278169995494
f1851_06,6,,136,train,26414840,26414840,1584361800,0.29185364900013155
f3841_01,6,,178,train,26414840,26414840,2112482400,0.43008098499967673
f3758_19,6,,176,train,26414840,26414840,1980452250,0.35326786199993876
f0166_12,6,,311,train,26414840,26414840,3564814050,0.6313139959997898
f3230_21,6,,183,train,26414840,26414840,2112482400,0.4606275149999419
f1121_47,6,,238,train,26414840,26414840,2772633150,0.48276389000011477
f1472_37,6,,387,train,26414840,26414840,4489025100,0.7646957899996778
f0114_20,6,,302,train,26414840,26414840,3564814050,0.6944640090000576
f2160_96,6,,176,train,26414840,26414840,1980452250,0.34797681700001704
f3904_45,6,,153,train,26414840,26414840,1716391950,0.31608645699998306
f2499_74,6,,160,train,26414840,26414840,1848422100,0.3237426460000279
f3721_04,6,,179,train,26414840,26414840,2112482400,0.4222624359999827
f3465_24,6,,165,train,26414840,26414840,1848422100,0.3380297700000483
f2346_88,6,,169,train,26414840,26414840,1980452250,0.34419424199995774
f2042_30,6,,166,train,26414840,26414840,1848422100,0.3235707559997536
f1512_39,6,,140,train,26414840,26414840,1584361800,0.3495957489999455
f3547_04,6,,170,train,26414840,26414840,1980452250,0.3602976070001205
f1763_25,7,,157,train,26414840,26414840,1848422100,0.3203813430000082
f0365_07,7,,285,train,26414840,26414840,3300753750,0.6709957990001385
f0610_38,7,,278,train,26414840,26414840,3300753750,0.5599389120002343
f1851_06,7,,136,train,26414840,26414840,1584361800,0.2888436600001114
f3841_01,7,,178,train,26414840,26414840,2112482400,0.41720260800002507
f3758_19,7,,176,train,26414840,26414840,1980452250,0.37887011699967843
f0166_12,7,,311,train,26414840,26414840,3564814050,0.6199680949998765
f3230_21,7,,183,train,26414840,26414840,2112482400,0.3850322230000529
f1121_47,7,,238,train,26414840,26414840,2772633150,0.5383842789997288
f1472_37,7,,387,train,26414840,26414840,4489025100,0.7512880119998044
f0114_20,7,,302,train,26414840,26414840,3564814050,0.699594616000013
f2160_96,7,,176,train,26414840,26414840,1980452250,0.34214091300009386
f3904_45,7,,153,train,26414840,26414840,1716391950,0.320636960000229
f2499_74,7,,160,train,26414840,26414840,1848422100,0.34009871400030534
f3721_04,7,,179,train,26414840,26414840,2112482400,0.4127920380001342
f3465_24,7,,165,train,26414840,26414840,1848422100,0.3364679819997036
f2346_88,7,,169,train,26414840,26414840,1980452250,0.3507787879998432
f2042_30,7,,166,train,26414840,26414840,1848422100,0.3349402280000504
f1512_39,7,,140,train,26414840,26414840,1584361800,0.29729267999982767
f3547_04,7,,170,train,26414840,26414840,1980452250,0.4479851440000857
f1763_25,8,,157,train,26414840,26414840,1848422100,0.3242679270001645
f0365_07,8,,285,train,26414840,26414840,3300753750,0.6593909650000569
f0610_38,8,,278,train,26414840,26414840,3300753750,0.5790657649999957
f1851_06,8,,136,train,26414840,26414840,1584361800,0.28204164399994625
f3841_01,8,,178,train,26414840,26414840,2112482400,0.37498163300006127
f3758_19,8,,176,train,26414840,26414840,1980452250,0.43428757999981826
f0166_12,8,,311,train,26414840,26414840,3564814050,0.6131851399995867
f3230_21,8,,183,train,26414840,26414840,2112482400,0.3694620930000383
f1121_47,8,,238,train,26414840,26414840,2772633150,0.5940685979999216
f1472_37,8,,387,train,26414840,26414840,4489025100,0.7676320690002285
f0114_20,8,,302,train,26414840,26414840,3564814050,0.6826490550001836
f2160_96,8,,176,train,26414840,26414840,1980452250,0.35467758400000093
f3904_45,8,,153,train,26414840,26414840,1716391950,0.314307559000099
f2499_74,8,,160,train,26414840,26414840,1848422100,0.3354380979999405
f3721_04,8,,179,train,26414840,26414840,2112482400,0.3753619990002335
f3465_24,8,,165,train,26414840,26414840,1848422100,0.37451793399986855
f2346_88,8,,169,train,26414840,26414840,1980452250,0.3553251729999829
f2042_30,8,,166,train,26414840,26414840,1848422100,0.3371314840001105
f1512_39,8,,140,train,26414840,26414840,1584361800,0.2920366580001428
f3547_04,8,,170,train,26414840,26414840,1980452250,0.3880968550001853
f1763_25,9,,157,train,26414840,26414840,1848422100,0.31576080500008175
f0365_07,9,,285,train,26414840,26414840,3300753750,0.5941055449998203
f0610_38,9,,278,train,26414840,26414840,3300753750,0.6005025530002968
f1851_06,9,,136,train,26414840,26414840,1584361800,0.29706140600001163
f3841_01,9,,178,train,26414840,26414840,2112482400,0.3702608799999325
f3758_19,9,,176,train,26414840,26414840,1980452250,0.4465195809998477
f0166_12,9,,311,train,26414840,26414840,3564814050,0.6257068390000313
f3230_21,9,,183,train,26414840,26414840,2112482400,0.3774987509996208
f1121_47,9,,238,train,26414840,26414840,2772633150,0.5288465130001896
f1472_37,9,,387,train,26414840,26414840,4489025100,0.7773458940000637
f0114_20,9,,302,train,26414840,26414840,3564814050,0.6137738940001327
f2160_96,9,,176,train,26414840,26414840,1980452250,0.41544430700014345
f3904_45,9,,153,train,26414840,26414840,1716391950,0.32130567300009716
f2499_74,9,,160,train,26414840,26414840,1848422100,0.31674314400015646
f3721_04,9,,179,train,26414840,26414840,2112482400,0.35908364999977493
f3465_24,9,,165,train,26414840,26414840,1848422100,0.4244311510001353
f2346_88,9,,169,train,26414840,26414840,1980452250,0.35484620399984124
f2042_30,9,,166,train,26414840,26414840,1848422100,0.3350831850002578
f1512_39,9,,140,train,26414840,26414840,1584361800,0.28681471799973224
f3547_04,9,,170,train,26414840,26414840,1980452250,0.3500901209999938
f1763_25,10,,157,train,26414840,26414840,1848422100,0.3172620760001337
f0365_07,10,,285,train,26414840,26414840,3300753750,0.5661781290000363
f0610_38,10,,278,train,26414840,26414840,3300753750,0.6183842629998253
f1851_06,10,,136,train,26414840,26414840,1584361800,0.2959637579997434
f3841_01,10,,178,train,26414840,26414840,2112482400,0.3665757920002761
f3758_19,10,,176,train,26414840,26414840,1980452250,0.3589798830003019
f0166_12,10,,311,train,26414840,26414840,3564814050,0.7044108200002483
f3230_21,10,,183,train,26414840,26414840,2112482400,0.37732083299988517
f1121_47,10,,238,train,26414840,26414840,2772633150,0.49173743699975603
f1472_37,10,,387,train,26414840,26414840,4489025100,0.8370506880000903
f0114_20,10,,302,train,26414840,26414840,3564814050,0.6156627400000616
f2160_96,10,,176,train,26414840,26414840,1980452250,0.42123899099988193
f3904_45,10,,153,train,26414840,26414840,1716391950,0.3177977190002821
f2499_74,10,,160,train,26414840,26414840,1848422100,0.33674915299980057
f3721_04,10,,179,train,26414840,26414840,2112482400,0.373459683999954
f3465_24,10,,165,train,26414840,26414840,1848422100,0.3174081010001828
f2346_88,10,,169,train,26414840,26414840,1980452250,0.4322483490000195
f2042_30,10,,166,train,26414840,26414840,1848422100,0.34045994600000995
f1512_39,10,,140,train,26414840,26414840,1584361800,0.287297638000382
f3547_04,10,,170,train,26414840,26414840,1980452250,0.359277689999999
f1763_25,11,,157,train,26414840,26414840,1848422100,0.32095509700002367
f0365_07,11,,285,train,26414840,26414840,3300753750,0.6304031029999351
f0610_38,11,,278,train,26414840,26414840,3300753750,0.6334649840000566
f1851_06,11,,136,train,26414840,26414840,1584361800,0.2816658520000601
f3841_01,11,,178,train,26414840,26414840,2112482400,0.3632648190000509
f3758_19,11,,176,train,26414840,26414840,1980452250,0.3508688809997693
f0166_12,11,,311,train,26414840,26414840,3564814050,0.7037832590003745
f3230_21,11,,183,train,26414840,26414840,2112482400,0.3676190689998293
f1121_47,11,,238,train,26414840,26414840,2772633150,0.47639327500019135
f1472_37,11,,387,train,26414840,26414840,4489025100,0.8518483439997908
f0114_20,11,,302,train,26414840,26414840,3564814050,0.628645723000318
f2160_96,11,,176,train,26414840,26414840,1980452250,0.34705830299981244
f3904_45,11,,153,train,26414840,26414840,1716391950,0.39198669500001415
f2499_74,11,,160,train,26414840,26414840,1848422100,0.3508504660003382
f3721_04,11,,179,train,26414840,26414840,2112482400,0.38999590499997794
f3465_24,11,,165,train,26414840,26414840,1848422100,0.3327961840000171
f2346_88,11,,169,train,26414840,26414840,1980452250,0.4204272760002823
f2042_30,11,,166,train,26414840,26414840,1848422100,0.34770742999990034
f1512_39,11,,140,train,26414840,26414840,1584361800,0.28161349300035
f3547_04,11,,170,train,26414840,26414840,1980452250,0.3491786169997795
f1763_25,12,,157,train,26414840,26414840,1848422100,0.32632116900003894
f0365_07,12,,285,train,26414840,26414840,3300753750,0.6014250640000682
f0610_38,12,,278,train,26414840,26414840,3300753750,0.664656697999817
f1851_06,12,,136,train,26414840,26414840,1584361800,0.2811043679998875
f3841_01,12,,178,train,26414840,26414840,2112482400,0.3606675000000905
f3758_19,12,,176,train,26414840,26414840,1980452250,0.35330006699996375
f0166_12,12,,311,train,26414840,26414840,3564814050,0.7129367970001113
f3230_21,12,,183,train,26414840,26414840,2112482400,0.38024068199956673
f1121_47,12,,238,train,26414840,26414840,2772633150,0.4847053630001028
f1472_37,12,,387,train,26414840,26414840,4489025100,0.873220147000211
f0114_20,12,,302,train,26414840,26414840,3564814050,0.6070771679997051
f2160_96,12,,176,train,26414840,26414840,1980452250,0.37496904199997516
f3904_45,12,,153,train,26414840,26414840,1716391950,0.3875769129999753
f2499_74,12,,160,train,26414840,26414840,1848422100,0.3385987460001161
f3721_04,12,,179,train,26414840,26414840,2112482400,0.3824135300001217
f3465_24,12,,165,train,26414840,26414840,1848422100,0.3210878990003039
f2346_88,12,,169,train,26414840,26414840,1980452250,0.4008996320003462
f2042_30,12,,166,train,26414840,26414840,1848422100,0.3346745099997861
f1512_39,12,,140,train,26414840,26414840,1584361800,0.30189038199978313
f3547_04,12,,170,train,26414840,26414840,1980452250,0.3328861390000384
f1763_25,13,,157,train,26414840,26414840,1848422100,0.38202706299989586
f0365_07,13,,285,train,26414840,26414840,3300753750,0.5870261220002249
f0610_38,13,,278,train,26414840,26414840,3300753750,0.5525519720004013
f1851_06,13,,136,train,26414840,26414840,1584361800,0.3629925820000608
f3841_01,13,,178,train,26414840,26414840,2112482400,0.37023449699972844
f3758_19,13,,176,train,26414840,26414840,1980452250,0.34980740499986496
f0166_12,13,,311,train,26414840,26414840,3564814050,0.6148507089997111
f3230_21,13,,183,train,26414840,26414840,2112482400,0.40179709799986085
f1121_47,13,,238,train,26414840,26414840,2772633150,0.472090023000419
f1472_37,13,,387,train,26414840,26414840,4489025100,0.8810360079996826
f0114_20,13,,302,train,26414840,26414840,3564814050,0.6094387449998067
f2160_96,13,,176,train,26414840,26414840,1980452250,0.34803176500008703
f3904_45,13,,153,train,26414840,26414840,1716391950,0.3375731840001208
f2499_74,13,,160,train,26414840,26414840,1848422100,0.4426920319997407
f3721_04,13,,179,train,26414840,26414840,2112482400,0.36735900700023194
f3465_24,13,,165,train,26414840,26414840,1848422100,0.354191081999943
f2346_88,13,,169,train,26414840,26414840,1980452250,0.33300045899977704
f2042_30,13,,166,train,26414840,26414840,1848422100,0.4098927489999369
f1512_39,13,,140,train,26414840,26414840,1584361800,0.2971730290000778
f3547_04,13,,170,train,26414840,26414840,1980452250,0.35204641400014225
f1763_25,14,,157,train,26414840,26414840,1848422100,0.3793436199998723
f0365_07,14,,285,train,26414840,26414840,3300753750,0.5704183689999809
f0610_38,14,,278,train,26414840,26414840,3300753750,0.5410512390003532
f1851_06,14,,136,train,26414840,26414840,1584361800,0.3846286920002058
f3841_01,14,,178,train,26414840,26414840,2112482400,0.3620800439998675
f3758_19,14,,176,train,26414840,26414840,1980452250,0.35335954099991795
f0166_12,14,,311,train,26414840,26414840,3564814050,0.6066086939999877
f3230_21,14,,183,train,26414840,26414840,2112482400,0.430174378999709
f1121_47,14,,238,train,26414840,26414840,2772633150,0.4882993589999387
f1472_37,14,,387,train,26414840,26414840,4489025100,0.7749199549998593
f0114_20,14,,302,train,26414840,26414840,3564814050,0.62651319600036
f2160_96,14,,176,train,26414840,26414840,1980452250,0.3558800969999538
f3904_45,14,,153,train,26414840,26414840,1716391950,0.31484443499994086
f2499_74,14,,160,train,26414840,26414840,1848422100,0.40620946199987884
f3721_04,14,,179,train,26414840,26414840,2112482400,0.37863516599963987
f3465_24,14,,165,train,26414840,26414840,1848422100,0.3374282290001247
f2346_88,14,,169,train,26414840,26414840,1980452250,0.34832211899993126
f2042_30,14,,166,train,26414840,26414840,1848422100,0.35725916100000177
f1512_39,14,,140,train,26414840,26414840,1584361800,0.32884372799981065
f3547_04,14,,170,train,26414840,26414840,1980452250,0.3513419519999843
f1763_25,15,,157,train,26414840,26414840,1848422100,0.31949632399982875
f0365_07,15,,285,train,26414840,26414840,3300753750,0.6414886080001452
f0610_38,15,,278,train,26414840,26414840,3300753750,0.5629295440003261
