client,round_number,computingTime,computingDemand,computingCap,computingtime
1,1,2.190321720998327,249696676193.80927,100.0,2.4969667619380926
2,1,3.9661811869955272,452144655317.4901,100.0,4.5214465531749015
3,1,3.7893682259964407,431987977763.59424,100.0,4.3198797776359426
4,1,1.876953434002644,213972691476.3014,100.0,2.139726914763014
5,1,2.378625004996138,271163250569.55975,100.0,2.7116325056955977
6,1,2.345105529995635,267342030419.5024,100.0,2.673420304195024
7,1,4.130786149005871,470909620986.6693,100.0,4.7090962098666935
8,1,2.4511680159994285,279433153823.9348,100.0,2.7943315382393483
9,1,3.190821171003336,363753613494.3803,100.0,3.637536134943803
10,1,5.137035361003655,585622031154.4167,100.0,5.856220311544168
11,1,4.028746685995429,459277122203.47894,100.0,4.59277122203479
12,1,2.33708667299652,266427880721.6033,100.0,2.664278807216033
13,1,2.0472373019947554,233385052427.40213,100.0,2.3338505242740215
14,1,2.1471485489964834,244774934585.59912,100.0,2.4477493458559914
15,1,2.4029038149965345,273931034909.60492,100.0,2.739310349096049
16,1,2.188768612999411,249519621881.93283,100.0,2.4951962188193284
17,1,2.2733176600013394,259158213240.15268,100.0,2.591582132401527
18,1,2.2096378759961226,251898717863.55798,100.0,2.5189871786355797
19,1,1.8820841439955984,214557592415.49823,100.0,2.1455759241549823
20,1,2.28794967399881,260826262835.86432,100.0,2.608262628358643
21,1,4.94538926200039,563774375868.0444,100.0,5.637743758680444
22,1,2.738074973000039,312140546922.00446,100.0,3.1214054692200444
23,1,4.335244875001081,494217915750.1232,100.0,4.942179157501232
24,1,2.342185576002521,267009155664.28738,100.0,2.670091556642874
25,1,5.5007930919964565,627090412487.5961,100.0,6.270904124875961
26,1,4.025216811001883,458874716454.21466,100.0,4.588747164542147
27,1,2.418976482993457,275763319061.2541,100.0,2.757633190612541
28,1,2.2884884259983664,260887680563.81378,100.0,2.608876805638138
29,1,4.390121716998692,500473875737.8509,100.0,5.004738757378509
30,1,2.0429168799964827,232892524319.59903,100.0,2.3289252431959904
31,1,2.1233743709963164,242064678293.58008,100.0,2.4206467829358007
32,1,2.427677375999337,276755220863.92444,100.0,2.7675522086392443
33,1,5.649054353998508,643992196355.83,100.0,6.4399219635583
34,1,5.316148159996374,606040890239.5865,100.0,6.060408902395865
35,1,2.177709230003529,248258852220.40228,100.0,2.482588522204023
36,1,2.0053802449983777,228613347929.81506,100.0,2.2861334792981505
37,1,5.689267039997503,648576442559.7153,100.0,6.485764425597154
38,1,5.075413188998937,578597103545.8788,100.0,5.785971035458788
39,1,1.7485812589948182,199338263525.40927,100.0,1.9933826352540926
40,1,2.2849055900005624,260479237260.06412,100.0,2.6047923726006412
41,1,2.406911864003632,274387952496.41406,100.0,2.743879524964141
42,1,1.9459630120036309,221839783368.4139,100.0,2.218397833684139
43,1,4.715904265001882,537613086210.21454,100.0,5.376130862102145
44,1,2.217889480001759,252839400720.2005,100.0,2.528394007202005
45,1,1.6170013380033197,184338152532.37845,100.0,1.8433815253237844
46,1,2.150345287998789,245139362831.86194,100.0,2.4513936283186193
47,1,2.128451317999861,242643450251.9842,100.0,2.4264345025198417
48,1,1.8990413880019328,216490718232.22034,100.0,2.1649071823222035
49,1,5.113768703005917,582969632142.6746,100.0,5.829696321426746
50,1,2.1222926049958915,241941356969.53162,100.0,2.4194135696953163
51,1,2.3666551300048013,269798684820.54736,100.0,2.6979868482054736
52,1,2.355520381999668,268529323547.96216,100.0,2.6852932354796217
