client,round_number,computingTime,computingDemand,computingCap,computingtime
1,1,8.080953611060977,921228711660.9514,100.0,9.212287116609515
2,1,4.057020200416446,462500302847.4748,100.0,4.625003028474748
3,1,7.771654875949025,885968655858.1888,100.0,8.859686558581888
4,1,6.123702023178339,698102030642.3307,100.0,6.981020306423307
5,1,3.999277664348483,455917653735.72705,100.0,4.559176537357271
6,1,3.839163679629564,437664659477.77026,100.0,4.376646594777703
7,1,8.21492718346417,936501698914.9153,100.0,9.365016989149153
8,1,3.833266800269485,436992415230.7213,100.0,4.369924152307213
9,1,3.836185840889812,437325185861.43854,100.0,4.373251858614386
10,1,2.425413617864251,276497152436.52466,100.0,2.7649715243652464
11,1,3.5854080989956856,408736523285.5082,100.0,4.087365232855082
12,1,2.8746865708380938,327714269075.54266,100.0,3.2771426907554266
13,1,6.034982522949576,687988007616.2517,100.0,6.879880076162517
14,1,3.346079621464014,381453076846.8976,100.0,3.814530768468976
15,1,3.8548962790519,439458175811.91656,100.0,4.394581758119165
16,1,3.8479088991880417,438661614507.43677,100.0,4.386616145074368
17,1,5.534663507714868,630951639879.4949,100.0,6.3095163987949485
18,1,2.453909752890468,279745711829.51337,100.0,2.7974571182951338
19,1,5.1121288407593966,582782687846.5712,100.0,5.827826878465712
20,1,7.5274839755147696,858133173208.6837,100.0,8.581331732086838
21,1,5.809808073565364,662318120386.4515,100.0,6.623181203864515
22,1,4.314549645408988,491858659576.62463,100.0,4.9185865957662465
23,1,2.9142619352787733,332225860621.78015,100.0,3.3222586062178014
24,1,3.9194242488592863,446814364369.9586,100.0,4.4681436436995865
25,1,2.438130434602499,277946869544.6849,100.0,2.7794686954468486
26,1,3.6759652830660334,419060042269.52783,100.0,4.190600422695279
27,1,3.8634374421089888,440431868400.42474,100.0,4.404318684004248
28,1,3.590115867555141,409273208901.2861,100.0,4.092732089012861
29,1,3.8904634788632393,443512836590.4093,100.0,4.435128365904093
30,1,4.056022111326456,462386520691.216,100.0,4.62386520691216
31,1,6.756512193009257,770242390003.0553,100.0,7.702423900030553
32,1,6.297022396698594,717860553223.6398,100.0,7.178605532236397
33,1,3.996185848489404,455565186727.79205,100.0,4.555651867277921
34,1,6.1403160486370325,699996029544.6217,100.0,6.9999602954462175
35,1,6.682453539222479,761799703471.3625,100.0,7.617997034713626
36,1,6.080690050497651,693198665756.7322,100.0,6.931986657567322
37,1,4.07092528603971,464085482608.5269,100.0,4.64085482608527
38,1,3.604899188503623,410958507489.413,100.0,4.10958507489413
39,1,3.9022779762744895,444859689295.2918,100.0,4.448596892952918
40,1,3.361482197418809,383208970505.7442,100.0,3.832089705057442
41,1,6.513343105092645,742521113980.5615,100.0,7.425211139805615
42,1,5.952070727944374,678536062985.6587,100.0,6.785360629856587
43,1,3.869770247489214,441153808213.7704,100.0,4.411538082137704
44,1,3.342942923307419,381095493257.0458,100.0,3.810954932570458
45,1,3.849232234060764,438812474682.92706,100.0,4.388124746829271
46,1,8.271381622180343,942937504928.5591,100.0,9.429375049285591
47,1,4.054677626118064,462233249377.4593,100.0,4.622332493774593
48,1,5.860831810161471,668134826358.4077,100.0,6.681348263584077
49,1,4.059737993404269,462810131248.0867,100.0,4.628101312480867
50,1,6.530665501952171,744495867222.5475,100.0,7.444958672225475
51,1,3.832829460501671,436942558497.1905,100.0,4.369425584971905
52,1,3.919170619919896,446785450670.86816,100.0,4.467854506708681
53,1,7.988775435835123,910720399685.204,100.0,9.10720399685204
54,1,3.656714539974928,416865457557.1418,100.0,4.168654575571418
55,1,7.943311983719468,905537566144.0194,100.0,9.055375661440195
56,1,3.805116830393672,433783318664.8786,100.0,4.337833186648786
57,1,3.87413945235312,441651897568.2557,100.0,4.416518975682557
58,1,3.4320080559700727,391248918380.5883,100.0,3.9124891838058833
59,1,5.301293032243848,604347405675.7987,100.0,6.043474056757987
60,1,3.5604619551450014,405892662886.53015,100.0,4.058926628865302
61,1,3.835053790360689,437196132101.1186,100.0,4.371961321011186
62,1,5.284378234297037,602419118709.8622,100.0,6.024191187098622
63,1,3.415358282625675,389350844219.32697,100.0,3.8935084421932697
64,1,4.090565226972103,466324435874.81976,100.0,4.663244358748198
1,2,8.041285037994385,916706494331.3599,100.0,9.167064943313598
2,2,4.053089989349246,462052258785.814,100.0,4.62052258785814
3,2,7.7937375865876675,888486084870.9941,100.0,8.884860848709941
4,2,6.07538478448987,692593865431.8452,100.0,6.925938654318452
5,2,4.001282991841435,456146261069.92365,100.0,4.561462610699237
6,2,3.826102474704385,436175682116.29987,100.0,4.361756821162999
7,2,8.210287068039179,935972725756.4664,100.0,9.359727257564664
8,2,3.8317223135381937,436816343743.35406,100.0,4.368163437433541
9,2,3.8321890588849774,436869552712.88745,100.0,4.3686955271288745
10,2,2.4190087262541056,275766994792.968,100.0,2.75766994792968
11,2,3.5832729525864124,408493116594.851,100.0,4.08493116594851
12,2,2.869034420698881,327069923959.6724,100.0,3.2706992395967243
13,2,6.029473075643182,687359930623.3228,100.0,6.873599306233228
14,2,3.3439310677349567,381208141721.7851,100.0,3.812081417217851
15,2,3.8466632142663,438519606426.3582,100.0,4.3851960642635825
16,2,3.845649087801576,438403996009.3797,100.0,4.384039960093797
17,2,5.579664811491966,636081788510.0841,100.0,6.3608178851008415
18,2,2.4088847413659096,274612860515.71368,100.0,2.746128605157137
19,2,5.1184067744761705,583498372290.2834,100.0,5.834983722902835
20,2,7.511603703722358,856322822224.3488,100.0,8.563228222243488
21,2,5.799887523055077,661187177628.2787,100.0,6.611871776282787
22,2,4.311604384332895,491522899813.9501,100.0,4.915228998139501
23,2,2.9127775132656097,332056636512.27954,100.0,3.3205663651227955
24,2,3.916014354676008,446425636433.0649,100.0,4.464256364330649
25,2,2.440584398806095,278226621463.89484,100.0,2.7822662146389483
26,2,3.6688276156783104,418246348187.3274,100.0,4.182463481873274
27,2,3.863993026316166,440495205000.0429,100.0,4.404952050000429
28,2,3.5899987500160933,409259857501.83466,100.0,4.0925985750183465
29,2,3.8870882466435432,443128060117.36395,100.0,4.43128060117364
30,2,4.053805381059647,462133813440.7997,100.0,4.6213381344079965
31,2,6.785041188821197,773494695525.6165,100.0,7.734946955256165
32,2,6.277780648320913,715666993908.5841,100.0,7.156669939085841
33,2,3.9929214194417,455193041816.3538,100.0,4.551930418163538
34,2,6.120268475264311,697710606180.1315,100.0,6.977106061801314
35,2,6.67668865993619,761142507232.7256,100.0,7.611425072327256
36,2,6.0803275760263205,693157343667.0005,100.0,6.931573436670005
37,2,4.068554131314158,463815170969.8141,100.0,4.638151709698141
38,2,3.6020274441689253,410631128635.2575,100.0,4.106311286352575
39,2,3.9023879040032634,444872221056.372,100.0,4.44872221056372
40,2,3.3626738879829645,383344823230.058,100.0,3.83344823230058
41,2,6.508408758789301,741958598501.9803,100.0,7.419585985019803
42,2,5.991290843114257,683007156115.0253,100.0,6.830071561150253
43,2,3.826812669634819,436256644338.3694,100.0,4.3625664433836935
44,2,3.344892220571637,381317713145.1666,100.0,3.8131771314516665
45,2,3.860094416886568,440050763525.0688,100.0,4.400507635250688
46,2,8.263897698372602,942084337614.4767,100.0,9.420843376144767
47,2,4.056214800104499,462408487211.91284,100.0,4.624084872119129
48,2,5.859291872009635,667959273409.0984,100.0,6.679592734090984
49,2,4.057667266577482,462574068389.83295,100.0,4.6257406838983295
50,2,6.532233387231827,744674606144.4282,100.0,7.446746061444283
51,2,3.830854196101427,436717378355.5627,100.0,4.367173783555627
52,2,3.919661108404398,446841366358.1014,100.0,4.468413663581014
53,2,7.988980917260051,910743824567.6458,100.0,9.107438245676457
54,2,3.7027593180537215,422114562258.12427,100.0,4.2211456225812425
55,2,7.90086149610579,900698210556.06,100.0,9.006982105560601
56,2,3.8242204692214727,435961133491.24786,100.0,4.359611334912478
57,2,3.861576726660133,440219746839.2551,100.0,4.4021974683925515
58,2,3.430723262950778,391102451976.3887,100.0,3.911024519763887
59,2,5.298342572525144,604011053267.8663,100.0,6.040110532678663
60,2,3.565647814422846,406483850844.2044,100.0,4.064838508442044
61,2,3.833171045407653,436981499176.4724,100.0,4.369814991764724
62,2,5.277947545051575,601686020135.8795,100.0,6.016860201358795
63,2,3.413520922884345,389141385208.8153,100.0,3.891413852088153
64,2,4.097745256498456,467142959240.824,100.0,4.67142959240824
1,3,8.039522910490632,916505611795.932,100.0,9.16505611795932
2,3,4.096084849908948,466953672889.62006,100.0,4.6695367288962
3,3,7.763845007866621,885078330896.7948,100.0,8.850783308967948
4,3,6.089294211938977,694179540161.0435,100.0,6.941795401610435
5,3,3.9918162412941456,455067051507.5326,100.0,4.550670515075326
6,3,3.8243301529437295,435973637435.58514,100.0,4.359736374355851
7,3,8.20499487966299,935369416281.5809,100.0,9.35369416281581
8,3,3.831012401729822,436735413797.1997,100.0,4.367354137971997
