experiment,dataset,value,fixed,n_seeds,n_clients,n_rounds,n_rounds_file,scale,n_rounds_equiv,computing_mean,computing_ci,computing_std,communication_mean,communication_ci,communication_std,total_mean,total_ci,total_std
clients,femnist,3,"E = 1, tx = 1.0",5,3,250,277,2.0,500,805.5947816380001,0.0,0.0,102.8168964004,1.271269398502716,1.023843326650187,908.4116780383999,1.2712693985027044,1.0238433266501776
clients,femnist,5,"E = 1, tx = 1.0",5,5,250,277,2.0,500,949.462889444,0.0,0.0,116.02703784799996,1.8825873114376117,1.5161809589075843,1065.489927292,1.882587311437535,1.5161809589075226
clients,femnist,10,"E = 1, tx = 1.0",5,10,250,277,2.0,500,1181.198059626,0.0,0.0,176.75487028280003,2.677958572084525,2.156749793791679,1357.9529299088,2.677958572084563,2.1567497937917097
clients,femnist,20,"E = 1, tx = 1.0",5,20,250,277,2.0,500,1363.5317563019998,0.0,0.0,570.0600366256001,1.871292760483303,1.5070846567109772,1933.5917929276002,1.8712927604833272,1.5070846567109968
clients,femnist,30,"E = 1, tx = 1.0",1,30,250,277,2.0,500,1440.92487192,,,1016.0677077320001,,,2456.992579652,,
clients,femnist,50,"E = 1, tx = 1.0",5,50,250,277,2.0,500,1534.45364688,0.0,0.0,1934.5453216760002,1.9728060612128866,1.5888405108522234,3468.9989685560004,1.9728060612129446,1.58884051085227
clients,shakespeare,2,"E = 1, tx = 1.0",5,2,50,50,1.0,50,738.623701198,0.0,0.0,3.280159171400014,0.25718423725229644,0.20712868990672836,741.9038603694,0.25718423725226675,0.2071286899067044
clients,shakespeare,3,"E = 1, tx = 1.0",5,3,50,50,1.0,50,915.3530327689999,0.0,0.0,3.5023252482000258,0.3031370091406695,0.2441377132454495,918.8553580171999,0.3031370091405827,0.24413771324537964
clients,shakespeare,4,"E = 1, tx = 1.0",5,4,50,50,1.0,50,1083.2386910730002,0.0,0.0,3.368739159400019,0.260421687425988,0.20973603793193885,1086.6074302324,0.2604216874260568,0.20973603793199425
clients,shakespeare,5,"E = 1, tx = 1.0",5,5,50,50,1.0,50,1246.0997584650001,0.0,0.0,3.8436440256000353,0.4844515089603385,0.39016312759423044,1249.9434024906002,0.4844515089602465,0.39016312759415644
clients,shakespeare,8,"E = 1, tx = 1.0",5,8,50,50,1.0,50,1582.656068663,0.0,0.0,3.1100112266000317,0.4476516353005609,0.3605255817581479,1585.7660798896,0.44765163530054825,0.36052558175813776
clients,shakespeare,10,"E = 1, tx = 1.0",5,10,50,50,1.0,50,1756.600615901,3.156452641175973e-13,2.5421149729252077e-13,3.398950862600029,0.605028429623143,0.4872722656841124,1759.9995667636001,0.6050284296230923,0.4872722656840716
clients,shakespeare,20,"E = 1, tx = 1.0",5,20,50,50,1.0,50,2339.1949353640002,0.0,0.0,3.3588594412000115,0.7656238757091555,0.61661115794348,2342.5537948052,0.7656238757089888,0.6166111579433458
batch,femnist,0.2,"C = 20, tx = 1.0",1,20,250,277,2.0,500,257.316275658,,,896.228901768,,,1153.545177426,,
batch,femnist,0.4,"C = 20, tx = 1.0",5,20,250,277,2.0,500,528.189537796,0.0,0.0,817.9733176876,1.5213495004308253,1.2252505529931297,1346.1628554836,1.5213495004308073,1.2252505529931152
batch,femnist,0.6,"C = 20, tx = 1.0",5,20,250,277,2.0,500,805.464567828,0.0,0.0,735.2167102608,1.0520109498071641,0.8472589616265263,1540.6812780888,1.0520109498072465,0.8472589616265926
batch,femnist,0.8,"C = 20, tx = 1.0",5,20,250,277,2.0,500,1090.51253387,0.0,0.0,650.5243046704,1.587751815430965,1.2787290424203819,1741.0368385404,1.5877518154310484,1.278729042420449
batch,femnist,0.9,"C = 20, tx = 1.0",5,30,250,277,2.0,500,1234.7979936759998,0.0,0.0,610.3104913847999,1.6876800955309932,1.3592083671367203,1845.1084850608,1.6876800955310767,1.3592083671367876
tx,femnist,1.0,"C = 20, E = 1",5,20,250,277,2.0,500,1363.5317563019998,0.0,0.0,570.0600366256001,1.871292760483303,1.5070846567109772,1933.5917929276002,1.8712927604833272,1.5070846567109968
tx,femnist,0.95,"C = 20, E = 1",5,20,250,277,2.0,500,1363.5317563019998,0.0,0.0,640.2066268944001,0.46159211121581595,0.37175283481164856,2003.7383831963998,0.4615921112158762,0.37175283481169713
tx,femnist,0.9,"C = 20, E = 1",5,20,250,277,2.0,500,1363.5317563019998,0.0,0.0,719.4631415839999,2.558628765197184,2.0606450447935867,2082.9948978859998,2.5586287651969166,2.060645044793371
tx,femnist,0.85,"C = 20, E = 1",5,20,250,277,2.0,500,1363.5317563019998,0.0,0.0,815.342642202,5.0637293878981815,4.078180083519813,2178.8743985039996,5.063729387898303,4.078180083519911
tx,femnist,0.8,"C = 20, E = 1",5,20,250,277,2.0,500,1363.5317563019998,0.0,0.0,939.0476941424,3.1946255541076907,2.5728583245782635,2302.5794504443998,3.1946255541078155,2.572858324578364
tx,shakespeare,1.0,"C = 10, E = 1",5,10,50,50,1.0,50,1756.600615901,3.156452641175973e-13,2.5421149729252077e-13,3.398950862600029,0.605028429623143,0.4872722656841124,1759.9995667636001,0.6050284296230923,0.4872722656840716
tx,shakespeare,0.95,"C = 10, E = 1",5,10,50,50,1.0,50,1756.600615901,3.156452641175973e-13,2.5421149729252077e-13,3.2450188644000435,0.33339663136755004,0.2685079311712774,1759.8456347654003,0.3333966313675359,0.268507931171266
tx,shakespeare,0.9,"C = 10, E = 1",5,10,50,50,1.0,50,1756.600615901,3.156452641175973e-13,2.5421149729252077e-13,3.7591881180000306,0.530262281037687,0.42705778842326314,1760.3598040190002,0.530262281037646,0.4270577884232301
tx,shakespeare,0.85,"C = 10, E = 1",5,10,50,50,1.0,50,1756.600615901,3.156452641175973e-13,2.5421149729252077e-13,3.6038124508000395,0.4676402798998425,0.37662385361607237,1760.2044283518,0.46764027989974194,0.3766238536159914
