client-id,round_number,workload,bg-workload,computation-time,client-queue-delay,propagation-delay,station-queue-delay
2,1,26171904,67,1.382788160,0.017657216,0.015838815,0.006038749
4,1,26171904,67,3.285204624,0.017657216,0.015838815,0.005879385
1,1,26171904,67,3.626888367,0.017657216,0.015838815,0.006065634
5,1,26171904,67,8.489566966,0.017657216,0.015838815,0.006023360
3,1,26171904,67,21.491169638,0.017657216,0.015838815,0.000005291
2,2,26171904,67,0.387603278,0.017657216,0.040450539,0.006481358
5,2,26171904,67,4.693622927,0.017657216,0.040450539,0.005227620
1,2,26171904,67,18.274107815,0.017657216,0.040450539,0.006377600
4,2,26171904,67,20.960390404,0.017657216,0.040450539,0.005573123
3,2,26171904,67,24.460606093,0.017657216,0.040450539,0.000005291
5,3,26171904,67,1.018339356,0.017657216,0.037852496,0.005957331
4,3,26171904,67,1.242847201,0.017657216,0.037852496,0.005783765
1,3,26171904,67,1.933771665,0.017657216,0.037852496,0.005760053
2,3,26171904,67,7.312411410,0.017657216,0.037852496,0.005756112
3,3,26171904,67,9.348683601,0.017657216,0.037852496,0.000005291
4,4,26171904,67,2.278169307,0.017657216,0.044361547,0.005644774
1,4,26171904,67,2.419082402,0.017657216,0.044361547,0.006299151
2,4,26171904,67,2.789808419,0.017657216,0.044361547,0.006089472
5,4,26171904,67,8.381294631,0.017657216,0.044361547,0.006448333
3,4,26171904,67,8.489566966,0.017657216,0.044361547,0.000005291
1,5,26171904,67,0.587382010,0.017657216,0.072744615,0.005998028
2,5,26171904,67,1.013253131,0.017657216,0.072744615,0.005691667
3,5,26171904,67,1.382788160,0.017657216,0.072744615,0.006121245
5,5,26171904,67,5.438118088,0.017657216,0.072744615,0.005783015
4,5,26171904,67,21.491169638,0.017657216,0.072744615,0.000005291
2,6,26171904,67,1.013253131,0.017657216,0.030939568,0.005894109
5,6,26171904,67,2.049694743,0.017657216,0.030939568,0.006112291
4,6,26171904,67,6.512859271,0.017657216,0.030939568,0.006557633
1,6,26171904,67,18.274107815,0.017657216,0.030939568,0.006194138
3,6,26171904,67,24.460606093,0.017657216,0.030939568,0.000005291
5,7,26171904,67,0.387603278,0.017657216,0.107353851,0.005991423
4,7,26171904,67,1.382788160,0.017657216,0.107353851,0.006213490
3,7,26171904,67,3.626888367,0.017657216,0.107353851,0.006125907
1,7,26171904,67,5.280775276,0.017657216,0.107353851,0.005941610
2,7,26171904,67,6.970204604,0.017657216,0.107353851,0.000005291
5,8,26171904,67,1.242847201,0.017657216,0.011997044,0.006113639
4,8,26171904,67,2.229664033,0.017657216,0.011997044,0.006216566
3,8,26171904,67,9.348683601,0.017657216,0.011997044,0.005511157
1,8,26171904,67,13.033566800,0.017657216,0.011997044,0.006514369
2,8,26171904,67,18.487478014,0.017657216,0.011997044,0.000005291
3,9,26171904,67,0.587382010,0.017657216,0.144118339,0.006352013
4,9,26171904,67,0.820450821,0.017657216,0.144118339,0.005128459
1,9,26171904,67,2.278169307,0.017657216,0.144118339,0.006102132
5,9,26171904,67,5.438118088,0.017657216,0.144118339,0.005327008
2,9,26171904,67,8.489566966,0.017657216,0.144118339,0.000005291
4,10,26171904,67,2.789808419,0.017657216,0.059076548,0.005710919
2,10,26171904,67,3.379563963,0.017657216,0.059076548,0.006001534
1,10,26171904,67,3.945420619,0.017657216,0.059076548,0.006391944
3,10,26171904,67,8.381294631,0.017657216,0.059076548,0.006207552
5,10,26171904,67,20.960390404,0.017657216,0.059076548,0.000005291
1,11,26171904,67,1.018339356,0.017657216,0.036070187,0.006181102
3,11,26171904,67,4.693622927,0.017657216,0.036070187,0.006211492
2,11,26171904,67,12.061542413,0.017657216,0.036070187,0.006363108
5,11,26171904,67,18.271122048,0.017657216,0.036070187,0.006182770
4,11,26171904,67,37.897913199,0.017657216,0.036070187,0.000005291
2,12,26171904,67,0.751119800,0.017657216,0.004276962,0.005715684
4,12,26171904,67,2.419082402,0.017657216,0.004276962,0.006085515
1,12,26171904,67,7.312411410,0.017657216,0.004276962,0.005666646
5,12,26171904,67,21.491169638,0.017657216,0.004276962,0.005915986
3,12,26171904,67,76.009580045,0.017657216,0.004276962,0.000005291
4,13,26171904,67,0.345984255,0.017657216,0.009569821,0.005948313
5,13,26171904,67,1.134459824,0.017657216,0.009569821,0.006041525
2,13,26171904,67,1.933771665,0.017657216,0.009569821,0.005925246
1,13,26171904,67,3.285204624,0.017657216,0.009569821,0.005881632
3,13,26171904,67,10.888500769,0.017657216,0.009569821,0.000005291
1,14,26171904,67,0.387603278,0.017657216,0.087732643,0.006392366
4,14,26171904,67,0.751119800,0.017657216,0.087732643,0.006358459
3,14,26171904,67,4.693622927,0.017657216,0.087732643,0.006109250
2,14,26171904,67,8.091729008,0.017657216,0.087732643,0.005128422
5,14,26171904,67,24.460606093,0.017657216,0.087732643,0.000005291
5,15,26171904,67,1.933771665,0.017657216,0.035199281,0.006402222
4,15,26171904,67,5.438118088,0.017657216,0.035199281,0.006087943
3,15,26171904,67,13.033566800,0.017657216,0.035199281,0.006363695
1,15,26171904,67,18.274107815,0.017657216,0.035199281,0.006065479
2,15,26171904,67,76.009580045,0.017657216,0.035199281,0.000005291
2,16,26171904,67,0.345984255,0.017657216,0.003661549,0.006042171
5,16,26171904,67,1.134459824,0.017657216,0.003661549,0.005326190
4,16,26171904,67,3.285204624,0.017657216,0.003661549,0.005651929
1,16,26171904,67,8.091729008,0.017657216,0.003661549,0.006208768
3,16,26171904,67,9.348683601,0.017657216,0.003661549,0.000005291
4,17,26171904,67,2.419082402,0.017657216,0.005202273,0.005977333
2,17,26171904,67,2.789808419,0.017657216,0.005202273,0.006339282
5,17,26171904,67,8.489566966,0.017657216,0.005202273,0.005593454
1,17,26171904,67,12.061542413,0.017657216,0.005202273,0.005476946
3,17,26171904,67,20.960390404,0.017657216,0.005202273,0.000005291
5,18,26171904,67,6.512859271,0.017657216,0.074292846,0.005661278
2,18,26171904,67,7.312411410,0.017657216,0.074292846,0.006190749
3,18,26171904,67,18.487478014,0.017657216,0.074292846,0.005383876
1,18,26171904,67,21.491169638,0.017657216,0.074292846,0.005803449
4,18,26171904,67,37.897913199,0.017657216,0.074292846,0.000005291
4,19,26171904,67,0.820450821,0.017657216,0.174484834,0.006213055
1,19,26171904,67,1.231968757,0.017657216,0.174484834,0.006006959
5,19,26171904,67,5.280775276,0.017657216,0.174484834,0.005737891
2,19,26171904,67,7.535369515,0.017657216,0.174484834,0.006046742
3,19,26171904,67,10.888500769,0.017657216,0.174484834,0.000005291
5,20,26171904,67,1.382788160,0.017657216,0.034295589,0.006094657
2,20,26171904,67,3.379563963,0.017657216,0.034295589,0.006517989
4,20,26171904,67,4.613387410,0.017657216,0.034295589,0.006299007
3,20,26171904,67,18.271122048,0.017657216,0.034295589,0.006419547
1,20,26171904,67,25.584000458,0.017657216,0.034295589,0.000005291
2,21,26171904,67,1.013253131,0.017657216,0.055120662,0.005854345
1,21,26171904,67,2.229664033,0.017657216,0.055120662,0.006375283
3,21,26171904,67,6.970204604,0.017657216,0.055120662,0.005873209
4,21,26171904,67,8.381294631,0.017657216,0.055120662,0.004949973
