client-id,round_number,workload,bg-workload,computation-time,client-queue-delay,propagation-delay,station-queue-delay
1,1,26171904,67,0.152692200,0.017657216,0.005120137,0.005975864
5,1,26171904,67,0.234952804,0.017657216,0.005120137,0.006558910
6,1,26171904,67,0.298063413,0.017657216,0.005120137,0.006381070
13,1,26171904,67,0.398063730,0.017657216,0.005120137,0.012165053
12,1,26171904,67,0.407335742,0.017657216,0.005120137,0.015910953
10,1,26171904,67,0.497138880,0.017657216,0.005120137,0.006186137
20,1,26171904,67,0.561757690,0.017657216,0.005120137,0.006437977
2,1,26171904,67,0.771335889,0.017657216,0.005120137,0.005374439
18,1,26171904,67,0.872490373,0.017657216,0.005120137,0.008175684
8,1,26171904,67,0.887428471,0.017657216,0.005120137,0.013312490
3,1,26171904,67,1.314081850,0.017657216,0.005120137,0.006140229
9,1,26171904,67,1.870884663,0.017657216,0.005120137,0.005723723
11,1,26171904,67,2.790607278,0.017657216,0.005120137,0.005585964
19,1,26171904,67,3.334493563,0.017657216,0.005120137,0.006455989
14,1,26171904,67,3.737085526,0.017657216,0.005120137,0.006131634
15,1,26171904,67,4.822586403,0.017657216,0.005120137,0.006213268
16,1,26171904,67,7.301036599,0.017657216,0.005120137,0.005639189
17,1,26171904,67,8.372607737,0.017657216,0.005120137,0.005512754
7,1,26171904,67,8.583462609,0.017657216,0.005120137,0.005713773
4,1,26171904,67,10.228368281,0.017657216,0.005120137,0.000005291
1,2,26171904,67,0.131235407,0.017657216,0.018141532,0.006513521
8,2,26171904,67,0.298063413,0.017657216,0.018141532,0.006021803
2,2,26171904,67,0.398063730,0.017657216,0.018141532,0.011024111
12,2,26171904,67,0.407335742,0.017657216,0.018141532,0.014217959
13,2,26171904,67,0.497138880,0.017657216,0.018141532,0.005863454
10,2,26171904,67,0.771335889,0.017657216,0.018141532,0.004920459
6,2,26171904,67,1.314081850,0.017657216,0.018141532,0.005638581
9,2,26171904,67,1.344557706,0.017657216,0.018141532,0.008411526
11,2,26171904,67,1.444038887,0.017657216,0.018141532,0.006613500
16,2,26171904,67,1.560825739,0.017657216,0.018141532,0.005881824
7,2,26171904,67,2.173063252,0.017657216,0.018141532,0.005520347
15,2,26171904,67,2.605143709,0.017657216,0.018141532,0.006064486
20,2,26171904,67,3.382815956,0.017657216,0.018141532,0.005903693
3,2,26171904,67,3.737085526,0.017657216,0.018141532,0.006252107
19,2,26171904,67,4.822586403,0.017657216,0.018141532,0.006081254
4,2,26171904,67,5.045050203,0.017657216,0.018141532,0.005640321
5,2,26171904,67,5.213426720,0.017657216,0.018141532,0.005342902
18,2,26171904,67,7.301970303,0.017657216,0.018141532,0.005914066
14,2,26171904,67,7.387921424,0.017657216,0.018141532,0.006325410
17,2,26171904,67,9.784242437,0.017657216,0.018141532,0.000005291
15,3,26171904,67,0.152692200,0.017657216,0.030437004,0.005952213
6,3,26171904,67,0.398063730,0.017657216,0.030437004,0.006312953
3,3,26171904,67,0.561757690,0.017657216,0.030437004,0.006106645
18,3,26171904,67,0.872490373,0.017657216,0.030437004,0.006377654
9,3,26171904,67,0.967632961,0.017657216,0.030437004,0.006425913
20,3,26171904,67,1.344557706,0.017657216,0.030437004,0.006358528
5,3,26171904,67,1.444038887,0.017657216,0.030437004,0.006123602
12,3,26171904,67,2.096185606,0.017657216,0.030437004,0.005358698
1,3,26171904,67,2.173063252,0.017657216,0.030437004,0.005920675
14,3,26171904,67,2.790607278,0.017657216,0.030437004,0.005265948
19,3,26171904,67,3.001640969,0.017657216,0.030437004,0.005681167
2,3,26171904,67,3.230294980,0.017657216,0.030437004,0.006167250
4,3,26171904,67,3.334493563,0.017657216,0.030437004,0.005984673
13,3,26171904,67,3.382815956,0.017657216,0.030437004,0.006129791
11,3,26171904,67,3.737085526,0.017657216,0.030437004,0.005869387
7,3,26171904,67,4.342812445,0.017657216,0.030437004,0.005881603
8,3,26171904,67,7.301970303,0.017657216,0.030437004,0.005990626
17,3,26171904,67,8.583462609,0.017657216,0.030437004,0.005805972
16,3,26171904,67,15.159165279,0.017657216,0.030437004,0.005881949
10,3,26171904,67,30.412870018,0.017657216,0.030437004,0.000005291
9,4,26171904,67,0.131235407,0.017657216,0.010654735,0.005577498
3,4,26171904,67,0.152692200,0.017657216,0.010654735,0.010234796
20,4,26171904,67,0.298063413,0.017657216,0.010654735,0.005244753
14,4,26171904,67,0.561757690,0.017657216,0.010654735,0.006048413
7,4,26171904,67,0.810344433,0.017657216,0.010654735,0.005539153
13,4,26171904,67,0.872490373,0.017657216,0.010654735,0.007291581
17,4,26171904,67,0.887428471,0.017657216,0.010654735,0.011668761
19,4,26171904,67,1.113303829,0.017657216,0.010654735,0.006290919
8,4,26171904,67,1.560825739,0.017657216,0.010654735,0.005947663
5,4,26171904,67,2.096185606,0.017657216,0.010654735,0.005792726
16,4,26171904,67,2.173063252,0.017657216,0.010654735,0.005596847
2,4,26171904,67,2.605143709,0.017657216,0.010654735,0.005092336
18,4,26171904,67,2.924964564,0.017657216,0.010654735,0.005802931
10,4,26171904,67,3.230294980,0.017657216,0.010654735,0.006792230
15,4,26171904,67,3.334493563,0.017657216,0.010654735,0.006186906
4,4,26171904,67,7.301036599,0.017657216,0.010654735,0.017083013
6,4,26171904,67,7.301970303,0.017657216,0.010654735,0.017417380
11,4,26171904,67,8.372607737,0.017657216,0.010654735,0.006338724
12,4,26171904,67,10.228368281,0.017657216,0.010654735,0.005650107
1,4,26171904,67,15.159165279,0.017657216,0.010654735,0.000005291
16,5,26171904,67,0.152692200,0.017657216,0.000800158,0.005556651
19,5,26171904,67,0.234952804,0.017657216,0.000800158,0.005719555
14,5,26171904,67,0.398063730,0.017657216,0.000800158,0.011664480
5,5,26171904,67,0.407335742,0.017657216,0.000800158,0.014628166
1,5,26171904,67,0.497138880,0.017657216,0.000800158,0.005712121
11,5,26171904,67,0.771335889,0.017657216,0.000800158,0.006032455
10,5,26171904,67,0.887428471,0.017657216,0.000800158,0.005888203
12,5,26171904,67,1.113303829,0.017657216,0.000800158,0.006337568
6,5,26171904,67,1.870884663,0.017657216,0.000800158,0.005738237
8,5,26171904,67,2.924964564,0.017657216,0.000800158,0.005966870
13,5,26171904,67,3.230294980,0.017657216,0.000800158,0.005691995
7,5,26171904,67,3.334493563,0.017657216,0.000800158,0.006344128
17,5,26171904,67,4.342812445,0.017657216,0.000800158,0.006349228
2,5,26171904,67,4.822586403,0.017657216,0.000800158,0.006111254
9,5,26171904,67,7.301036599,0.017657216,0.000800158,0.017050818
18,5,26171904,67,7.301970303,0.017657216,0.000800158,0.017399017
20,5,26171904,67,7.387921424,0.017657216,0.000800158,0.005867953
4,5,26171904,67,8.372607737,0.017657216,0.000800158,0.005776207
15,5,26171904,67,9.784242437,0.017657216,0.000800158,0.005343928
3,5,26171904,67,10.228368281,0.017657216,0.000800158,0.000005291
20,6,26171904,67,0.152692200,0.017657216,0.019693589,0.006210001
19,6,26171904,67,0.298063413,0.017657216,0.019693589,0.006080659
8,6,26171904,67,0.328180328,0.017657216,0.019693589,0.007531421
15,6,26171904,67,0.486006023,0.017657216,0.019693589,0.010411364
17,6,26171904,67,0.497138880,0.017657216,0.019693589,0.014228925
3,6,26171904,67,0.810344433,0.017657216,0.019693589,0.006223980
12,6,26171904,67,1.113303829,0.017657216,0.019693589,0.006058543
1,6,26171904,67,1.314081850,0.017657216,0.019693589,0.005886672
5,6,26171904,67,2.173063252,0.017657216,0.019693589,0.005900038
4,6,26171904,67,3.382815956,0.017657216,0.019693589,0.005986586
7,6,26171904,67,3.737085526,0.017657216,0.019693589,0.005817124
16,6,26171904,67,4.342812445,0.017657216,0.019693589,0.005689979
18,6,26171904,67,4.822586403,0.017657216,0.019693589,0.006016082
14,6,26171904,67,5.045050203,0.017657216,0.019693589,0.006347741
9,6,26171904,67,5.213426720,0.017657216,0.019693589,0.006188704
6,6,26171904,67,7.387921424,0.017657216,0.019693589,0.005360662
10,6,26171904,67,8.583462609,0.017657216,0.019693589,0.005594640
2,6,26171904,67,9.784242437,0.017657216,0.019693589,0.005947808
11,6,26171904,67,10.228368281,0.017657216,0.019693589,0.005934673
13,6,26171904,67,30.412870018,0.017657216,0.019693589,0.000005291
19,7,26171904,67,0.131235407,0.017657216,0.001589510,0.005647279
17,7,26171904,67,0.328180328,0.017657216,0.001589510,0.006593174
2,7,26171904,67,0.407335742,0.017657216,0.001589510,0.005935869
15,7,26171904,67,0.456008361,0.017657216,0.001589510,0.006101615
8,7,26171904,67,0.497138880,0.017657216,0.001589510,0.006707690
7,7,26171904,67,0.810344433,0.017657216,0.001589510,0.006842871
9,7,26171904,67,0.967632961,0.017657216,0.001589510,0.006472843
16,7,26171904,67,1.314081850,0.017657216,0.001589510,0.006095403
12,7,26171904,67,1.344557706,0.017657216,0.001589510,0.008232223
3,7,26171904,67,1.560825739,0.017657216,0.001589510,0.006107656
4,7,26171904,67,2.173063252,0.017657216,0.001589510,0.005779988
10,7,26171904,67,2.790607278,0.017657216,0.001589510,0.005704499
5,7,26171904,67,2.924964564,0.017657216,0.001589510,0.006071527
20,7,26171904,67,3.382815956,0.017657216,0.001589510,0.006200012
11,7,26171904,67,4.342812445,0.017657216,0.001589510,0.005511997
1,7,26171904,67,4.822586403,0.017657216,0.001589510,0.005969846
14,7,26171904,67,5.213426720,0.017657216,0.001589510,0.006223443
13,7,26171904,67,7.387921424,0.017657216,0.001589510,0.005815060
18,7,26171904,67,8.583462609,0.017657216,0.001589510,0.005944203
6,7,26171904,67,30.412870018,0.017657216,0.001589510,0.000005291
6,8,26171904,67,0.131235407,0.017657216,0.005321819,0.005581380
9,8,26171904,67,0.234952804,0.017657216,0.005321819,0.006315083
20,8,26171904,67,0.328180328,0.017657216,0.005321819,0.005318486
17,8,26171904,67,0.407335742,0.017657216,0.005321819,0.005954905
15,8,26171904,67,0.497138880,0.017657216,0.005321819,0.005181375
5,8,26171904,67,0.771335889,0.017657216,0.005321819,0.006246361
11,8,26171904,67,0.872490373,0.017657216,0.005321819,0.005578989
8,8,26171904,67,1.344557706,0.017657216,0.005321819,0.006700300
16,8,26171904,67,1.444038887,0.017657216,0.005321819,0.006189927
2,8,26171904,67,1.870884663,0.017657216,0.005321819,0.006524395
18,8,26171904,67,2.096185606,0.017657216,0.005321819,0.006686593
10,8,26171904,67,2.605143709,0.017657216,0.005321819,0.005660501
13,8,26171904,67,2.790607278,0.017657216,0.005321819,0.006436391
7,8,26171904,67,3.001640969,0.017657216,0.005321819,0.006438270
14,8,26171904,67,3.382815956,0.017657216,0.005321819,0.005664940
19,8,26171904,67,3.737085526,0.017657216,0.005321819,0.005878233
4,8,26171904,67,7.301036599,0.017657216,0.005321819,0.017191439
1,8,26171904,67,7.301970303,0.017657216,0.005321819,0.017518855
3,8,26171904,67,8.372607737,0.017657216,0.005321819,0.005146358
12,8,26171904,67,15.159165279,0.017657216,0.005321819,0.000005291
19,9,26171904,67,0.152692200,0.017657216,0.045952350,0.005695594
18,9,26171904,67,0.298063413,0.017657216,0.045952350,0.005952113
1,9,26171904,67,0.328180328,0.017657216,0.045952350,0.007720823
15,9,26171904,67,0.398063730,0.017657216,0.045952350,0.006001511
16,9,26171904,67,0.497138880,0.017657216,0.045952350,0.006303279
12,9,26171904,67,0.887428471,0.017657216,0.045952350,0.005965100
20,9,26171904,67,1.113303829,0.017657216,0.045952350,0.006130012
9,9,26171904,67,1.314081850,0.017657216,0.045952350,0.005290494
14,9,26171904,67,1.444038887,0.017657216,0.045952350,0.005477576
10,9,26171904,67,2.173063252,0.017657216,0.045952350,0.006029796
7,9,26171904,67,2.605143709,0.017657216,0.045952350,0.005566134
17,9,26171904,67,2.790607278,0.017657216,0.045952350,0.006124193
13,9,26171904,67,3.001640969,0.017657216,0.045952350,0.006066159
3,9,26171904,67,3.230294980,0.017657216,0.045952350,0.005341053
11,9,26171904,67,3.334493563,0.017657216,0.045952350,0.005724676
5,9,26171904,67,3.382815956,0.017657216,0.045952350,0.006131013
4,9,26171904,67,4.342812445,0.017657216,0.045952350,0.005487033
2,9,26171904,67,4.822586403,0.017657216,0.045952350,0.006199481
6,9,26171904,67,15.159165279,0.017657216,0.045952350,0.006614609
8,9,26171904,67,30.412870018,0.017657216,0.045952350,0.000005291
13,10,26171904,67,0.131235407,0.017657216,0.067794837,0.006153727
11,10,26171904,67,0.152692200,0.017657216,0.067794837,0.010989528
9,10,26171904,67,0.298063413,0.017657216,0.067794837,0.005903251
14,10,26171904,67,0.497138880,0.017657216,0.067794837,0.005722532
7,10,26171904,67,0.561757690,0.017657216,0.067794837,0.005967253
2,10,26171904,67,0.967632961,0.017657216,0.067794837,0.006393376
17,10,26171904,67,1.113303829,0.017657216,0.067794837,0.006132015
3,10,26171904,67,1.560825739,0.017657216,0.067794837,0.006131816
19,10,26171904,67,1.845354964,0.017657216,0.067794837,0.006804121
1,10,26171904,67,1.870884663,0.017657216,0.067794837,0.010131596
16,10,26171904,67,2.173063252,0.017657216,0.067794837,0.005656168
12,10,26171904,67,2.790607278,0.017657216,0.067794837,0.005748512
5,10,26171904,67,2.924964564,0.017657216,0.067794837,0.006385814
20,10,26171904,67,3.382815956,0.017657216,0.067794837,0.006354521
10,10,26171904,67,3.737085526,0.017657216,0.067794837,0.006043141
4,10,26171904,67,5.045050203,0.017657216,0.067794837,0.005774636
18,10,26171904,67,7.301970303,0.017657216,0.067794837,0.006409372
15,10,26171904,67,8.372607737,0.017657216,0.067794837,0.006191496
6,10,26171904,67,9.784242437,0.017657216,0.067794837,0.005826177
8,10,26171904,67,10.228368281,0.017657216,0.067794837,0.000005291
4,11,26171904,67,0.131235407,0.017657216,0.081097789,0.005254233
2,11,26171904,67,0.234952804,0.017657216,0.081097789,0.005909086
13,11,26171904,67,0.298063413,0.017657216,0.081097789,0.006142965
6,11,26171904,67,0.328180328,0.017657216,0.081097789,0.008809592
17,11,26171904,67,0.407335742,0.017657216,0.081097789,0.005643556
20,11,26171904,67,0.497138880,0.017657216,0.081097789,0.005649178
9,11,26171904,67,0.561757690,0.017657216,0.081097789,0.006497333
11,11,26171904,67,0.810344433,0.017657216,0.081097789,0.006213683
14,11,26171904,67,0.872490373,0.017657216,0.081097789,0.005869245
5,11,26171904,67,1.444038887,0.017657216,0.081097789,0.006530985
19,11,26171904,67,1.870884663,0.017657216,0.081097789,0.006126987
1,11,26171904,67,2.790607278,0.017657216,0.081097789,0.006009498
10,11,26171904,67,2.924964564,0.017657216,0.081097789,0.006379293
18,11,26171904,67,3.230294980,0.017657216,0.081097789,0.005800661
12,11,26171904,67,3.737085526,0.017657216,0.081097789,0.006267923
15,11,26171904,67,4.342812445,0.017657216,0.081097789,0.006293685
3,11,26171904,67,5.045050203,0.017657216,0.081097789,0.005499286
8,11,26171904,67,5.213426720,0.017657216,0.081097789,0.005784468
7,11,26171904,67,7.301036599,0.017657216,0.081097789,0.006463153
16,11,26171904,67,15.159165279,0.017657216,0.081097789,0.000005291
8,12,26171904,67,0.131235407,0.017657216,0.051909436,0.006465385
2,12,26171904,67,0.298063413,0.017657216,0.051909436,0.005331571
3,12,26171904,67,0.456008361,0.017657216,0.051909436,0.005461277
10,12,26171904,67,0.561757690,0.017657216,0.051909436,0.005108382
4,12,26171904,67,0.771335889,0.017657216,0.051909436,0.006237026
6,12,26171904,67,0.967632961,0.017657216,0.051909436,0.006101636
20,12,26171904,67,1.113303829,0.017657216,0.051909436,0.005463318
13,12,26171904,67,1.444038887,0.017657216,0.051909436,0.006751751
5,12,26171904,67,1.845354964,0.017657216,0.051909436,0.005797561
12,12,26171904,67,2.096185606,0.017657216,0.051909436,0.005737547
16,12,26171904,67,2.173063252,0.017657216,0.051909436,0.005783660
11,12,26171904,67,2.790607278,0.017657216,0.051909436,0.005462584
1,12,26171904,67,3.737085526,0.017657216,0.051909436,0.006385561
7,12,26171904,67,4.342812445,0.017657216,0.051909436,0.006199673
19,12,26171904,67,7.387921424,0.017657216,0.051909436,0.005964622
17,12,26171904,67,8.372607737,0.017657216,0.051909436,0.005815478
9,12,26171904,67,8.583462609,0.017657216,0.051909436,0.006601434
14,12,26171904,67,9.784242437,0.017657216,0.051909436,0.006092125
15,12,26171904,67,15.159165279,0.017657216,0.051909436,0.006221760
18,12,26171904,67,30.412870018,0.017657216,0.051909436,0.000005291
2,13,26171904,67,0.398063730,0.017657216,0.004306806,0.011408011
1,13,26171904,67,0.407335742,0.017657216,0.004306806,0.014762901
5,13,26171904,67,0.497138880,0.017657216,0.004306806,0.005444292
11,13,26171904,67,0.967632961,0.017657216,0.004306806,0.005460244
4,13,26171904,67,1.113303829,0.017657216,0.004306806,0.006165490
12,13,26171904,67,1.314081850,0.017657216,0.004306806,0.006183862
13,13,26171904,67,1.870884663,0.017657216,0.004306806,0.005540817
14,13,26171904,67,2.096185606,0.017657216,0.004306806,0.005483157
6,13,26171904,67,2.173063252,0.017657216,0.004306806,0.006098388
16,13,26171904,67,2.605143709,0.017657216,0.004306806,0.005491977
8,13,26171904,67,2.790607278,0.017657216,0.004306806,0.006269109
3,13,26171904,67,2.924964564,0.017657216,0.004306806,0.005826605
18,13,26171904,67,3.334493563,0.017657216,0.004306806,0.005091120
9,13,26171904,67,3.382815956,0.017657216,0.004306806,0.005557279
15,13,26171904,67,4.342812445,0.017657216,0.004306806,0.006922517
19,13,26171904,67,7.387921424,0.017657216,0.004306806,0.005792733
7,13,26171904,67,8.372607737,0.017657216,0.004306806,0.006095983
10,13,26171904,67,8.583462609,0.017657216,0.004306806,0.006666433
20,13,26171904,67,9.784242437,0.017657216,0.004306806,0.006127911
17,13,26171904,67,15.159165279,0.017657216,0.004306806,0.000005291
2,14,26171904,67,0.298063413,0.017657216,0.068306915,0.007053355
9,14,26171904,67,0.328180328,0.017657216,0.068306915,0.008792138
5,14,26171904,67,0.398063730,0.017657216,0.068306915,0.005769245
13,14,26171904,67,0.456008361,0.017657216,0.068306915,0.005695637
16,14,26171904,67,0.486006023,0.017657216,0.068306915,0.011478271
19,14,26171904,67,0.497138880,0.017657216,0.068306915,0.015286616
7,14,26171904,67,0.561757690,0.017657216,0.068306915,0.006367144
1,14,26171904,67,0.810344433,0.017657216,0.068306915,0.006191488
12,14,26171904,67,0.967632961,0.017657216,0.068306915,0.005852423
6,14,26171904,67,1.314081850,0.017657216,0.068306915,0.005960200
4,14,26171904,67,1.560825739,0.017657216,0.068306915,0.005806933
15,14,26171904,67,1.870884663,0.017657216,0.068306915,0.006033181
10,14,26171904,67,2.173063252,0.017657216,0.068306915,0.005391339
18,14,26171904,67,2.924964564,0.017657216,0.068306915,0.005965608
20,14,26171904,67,3.230294980,0.017657216,0.068306915,0.006154030
8,14,26171904,67,3.382815956,0.017657216,0.068306915,0.005932820
17,14,26171904,67,5.213426720,0.017657216,0.068306915,0.006486502
11,14,26171904,67,8.372607737,0.017657216,0.068306915,0.006267257
3,14,26171904,67,10.228368281,0.017657216,0.068306915,0.006042065
14,14,26171904,67,15.159165279,0.017657216,0.068306915,0.000005291
9,15,26171904,67,0.131235407,0.017657216,0.003055712,0.005834127
17,15,26171904,67,0.298063413,0.017657216,0.003055712,0.006482358
10,15,26171904,67,0.456008361,0.017657216,0.003055712,0.006050845
11,15,26171904,67,0.810344433,0.017657216,0.003055712,0.006549344
4,15,26171904,67,0.872490373,0.017657216,0.003055712,0.008046233
15,15,26171904,67,0.887428471,0.017657216,0.003055712,0.013015929
12,15,26171904,67,0.967632961,0.017657216,0.003055712,0.006070912
16,15,26171904,67,1.113303829,0.017657216,0.003055712,0.006056328
6,15,26171904,67,1.560825739,0.017657216,0.003055712,0.005953446
18,15,26171904,67,2.605143709,0.017657216,0.003055712,0.005639124
13,15,26171904,67,3.001640969,0.017657216,0.003055712,0.005922568
2,15,26171904,67,3.382815956,0.017657216,0.003055712,0.005985026
8,15,26171904,67,3.737085526,0.017657216,0.003055712,0.005843989
5,15,26171904,67,4.822586403,0.017657216,0.003055712,0.005863506
14,15,26171904,67,5.045050203,0.017657216,0.003055712,0.005732054
20,15,26171904,67,5.213426720,0.017657216,0.003055712,0.005677395
1,15,26171904,67,7.301036599,0.017657216,0.003055712,0.006265327
7,15,26171904,67,7.387921424,0.017657216,0.003055712,0.005786325
19,15,26171904,67,8.372607737,0.017657216,0.003055712,0.005365438
3,15,26171904,67,8.583462609,0.017657216,0.003055712,0.000005291
13,16,26171904,67,0.131235407,0.017657216,0.105553515,0.006059630
14,16,26171904,67,0.152692200,0.017657216,0.105553515,0.010660434
6,16,26171904,67,0.328180328,0.017657216,0.105553515,0.005210190
15,16,26171904,67,0.398063730,0.017657216,0.105553515,0.012032572
11,16,26171904,67,0.407335742,0.017657216,0.105553515,0.015005094
3,16,26171904,67,0.561757690,0.017657216,0.105553515,0.005406802
8,16,26171904,67,0.771335889,0.017657216,0.105553515,0.006118106
4,16,26171904,67,0.967632961,0.017657216,0.105553515,0.006141394
20,16,26171904,67,1.113303829,0.017657216,0.105553515,0.005692263
16,16,26171904,67,1.344557706,0.017657216,0.105553515,0.006261753
18,16,26171904,67,1.444038887,0.017657216,0.105553515,0.005806301
7,16,26171904,67,1.870884663,0.017657216,0.105553515,0.006045496
5,16,26171904,67,2.605143709,0.017657216,0.105553515,0.005921938
17,16,26171904,67,3.001640969,0.017657216,0.105553515,0.005267481
10,16,26171904,67,3.334493563,0.017657216,0.105553515,0.006469141
12,16,26171904,67,3.737085526,0.017657216,0.105553515,0.005985502
9,16,26171904,67,4.822586403,0.017657216,0.105553515,0.005855827
1,16,26171904,67,5.213426720,0.017657216,0.105553515,0.004901135
19,16,26171904,67,7.301036599,0.017657216,0.105553515,0.006128519
2,16,26171904,67,9.784242437,0.017657216,0.105553515,0.000005291
3,17,26171904,67,0.131235407,0.017657216,0.038255654,0.006262168
16,17,26171904,67,0.152692200,0.017657216,0.038255654,0.010552050
19,17,26171904,67,0.328180328,0.017657216,0.038255654,0.005093689
9,17,26171904,67,0.407335742,0.017657216,0.038255654,0.005912302
17,17,26171904,67,0.771335889,0.017657216,0.038255654,0.007070156
13,17,26171904,67,0.810344433,0.017657216,0.038255654,0.006135284
7,17,26171904,67,0.872490373,0.017657216,0.038255654,0.007819239
12,17,26171904,67,0.887428471,0.017657216,0.038255654,0.012715865
14,17,26171904,67,1.113303829,0.017657216,0.038255654,0.005631950
10,17,26171904,67,1.314081850,0.017657216,0.038255654,0.005979310
15,17,26171904,67,1.344557706,0.017657216,0.038255654,0.006849592
1,17,26171904,67,1.444038887,0.017657216,0.038255654,0.006037645
20,17,26171904,67,2.096185606,0.017657216,0.038255654,0.006097343
4,17,26171904,67,2.173063252,0.017657216,0.038255654,0.005950080
11,17,26171904,67,2.924964564,0.017657216,0.038255654,0.006131253
18,17,26171904,67,3.382815956,0.017657216,0.038255654,0.005756658
5,17,26171904,67,5.045050203,0.017657216,0.038255654,0.005827250
2,17,26171904,67,5.213426720,0.017657216,0.038255654,0.006232173
8,17,26171904,67,8.372607737,0.017657216,0.038255654,0.006140843
6,17,26171904,67,8.583462609,0.017657216,0.038255654,0.000005291
11,18,26171904,67,0.131235407,0.017657216,0.260578007,0.005955731
7,18,26171904,67,0.328180328,0.017657216,0.260578007,0.005894066
9,18,26171904,67,0.398063730,0.017657216,0.260578007,0.011693582
2,18,26171904,67,0.407335742,0.017657216,0.260578007,0.014272443
12,18,26171904,67,0.887428471,0.017657216,0.260578007,0.005825325
6,18,26171904,67,1.113303829,0.017657216,0.260578007,0.006437863
15,18,26171904,67,1.314081850,0.017657216,0.260578007,0.004781326
14,18,26171904,67,1.344557706,0.017657216,0.260578007,0.005373940
8,18,26171904,67,1.560825739,0.017657216,0.260578007,0.006145159
13,18,26171904,67,1.845354964,0.017657216,0.260578007,0.005341813
10,18,26171904,67,2.605143709,0.017657216,0.260578007,0.005001796
20,18,26171904,67,2.790607278,0.017657216,0.260578007,0.005594822
17,18,26171904,67,3.230294980,0.017657216,0.260578007,0.006008792
3,18,26171904,67,3.334493563,0.017657216,0.260578007,0.005880007
18,18,26171904,67,3.737085526,0.017657216,0.260578007,0.006016409
1,18,26171904,67,4.822586403,0.017657216,0.260578007,0.006146871
5,18,26171904,67,5.045050203,0.017657216,0.260578007,0.005917065
16,18,26171904,67,7.301036599,0.017657216,0.260578007,0.006873857
19,18,26171904,67,7.387921424,0.017657216,0.260578007,0.005264918
4,18,26171904,67,8.583462609,0.017657216,0.260578007,0.000005291
17,19,26171904,67,0.298063413,0.017657216,0.030402264,0.006129333
2,19,26171904,67,0.328180328,0.017657216,0.030402264,0.008126776
9,19,26171904,67,0.407335742,0.017657216,0.030402264,0.005791445
12,19,26171904,67,0.456008361,0.017657216,0.030402264,0.005978304
8,19,26171904,67,0.497138880,0.017657216,0.030402264,0.005905388
4,19,26171904,67,0.771335889,0.017657216,0.030402264,0.006215420
3,19,26171904,67,0.872490373,0.017657216,0.030402264,0.004971243
7,19,26171904,67,1.314081850,0.017657216,0.030402264,0.005835662
20,19,26171904,67,1.444038887,0.017657216,0.030402264,0.006338141
19,19,26171904,67,1.870884663,0.017657216,0.030402264,0.005865012
5,19,26171904,67,2.173063252,0.017657216,0.030402264,0.005566076
1,19,26171904,67,2.605143709,0.017657216,0.030402264,0.006489944
10,19,26171904,67,2.924964564,0.017657216,0.030402264,0.006664636
15,19,26171904,67,3.230294980,0.017657216,0.030402264,0.006135278
14,19,26171904,67,3.334493563,0.017657216,0.030402264,0.005753390
11,19,26171904,67,4.342812445,0.017657216,0.030402264,0.005934467
16,19,26171904,67,4.822586403,0.017657216,0.030402264,0.005993746
18,19,26171904,67,8.372607737,0.017657216,0.030402264,0.006227922
13,19,26171904,67,8.583462609,0.017657216,0.030402264,0.006330576
6,19,26171904,67,9.784242437,0.017657216,0.030402264,0.000005291
3,20,26171904,67,0.152692200,0.017657216,0.003188010,0.006656650
7,20,26171904,67,0.398063730,0.017657216,0.003188010,0.006060971
19,20,26171904,67,0.456008361,0.017657216,0.003188010,0.005243875
1,20,26171904,67,0.497138880,0.017657216,0.003188010,0.005101828
10,20,26171904,67,0.810344433,0.017657216,0.003188010,0.006226823
14,20,26171904,67,0.967632961,0.017657216,0.003188010,0.006332684
8,20,26171904,67,1.113303829,0.017657216,0.003188010,0.006324917
11,20,26171904,67,1.344557706,0.017657216,0.003188010,0.005269234
15,20,26171904,67,1.444038887,0.017657216,0.003188010,0.006360740
17,20,26171904,67,1.845354964,0.017657216,0.003188010,0.005977655
20,20,26171904,67,1.870884663,0.017657216,0.003188010,0.009325759
5,20,26171904,67,2.173063252,0.017657216,0.003188010,0.006378193
6,20,26171904,67,2.790607278,0.017657216,0.003188010,0.005235898
12,20,26171904,67,3.001640969,0.017657216,0.003188010,0.006299034
16,20,26171904,67,3.230294980,0.017657216,0.003188010,0.005690148
18,20,26171904,67,5.213426720,0.017657216,0.003188010,0.005581460
2,20,26171904,67,7.301036599,0.017657216,0.003188010,0.016541605
4,20,26171904,67,7.301970303,0.017657216,0.003188010,0.016739090
9,20,26171904,67,9.784242437,0.017657216,0.003188010,0.006049703
13,20,26171904,67,30.412870018,0.017657216,0.003188010,0.000005291
19,21,26171904,67,0.152692200,0.017657216,0.042292677,0.006208812
16,21,26171904,67,0.234952804,0.017657216,0.042292677,0.005006998
4,21,26171904,67,0.407335742,0.017657216,0.042292677,0.006301858
8,21,26171904,67,0.561757690,0.017657216,0.042292677,0.005528909
10,21,26171904,67,0.967632961,0.017657216,0.042292677,0.006350908
17,21,26171904,67,1.113303829,0.017657216,0.042292677,0.006660878
12,21,26171904,67,1.344557706,0.017657216,0.042292677,0.006057322
1,21,26171904,67,1.845354964,0.017657216,0.042292677,0.005646952
15,21,26171904,67,2.173063252,0.017657216,0.042292677,0.005568931
5,21,26171904,67,2.605143709,0.017657216,0.042292677,0.006349345
