client-id,round_number,workload,bg-workload,computation-time,client-queue-delay,propagation-delay,station-queue-delay
6,1,211318720,67,0.366534056,0.142569611,0.018075502,0.047389030
16,1,211318720,67,0.602709628,0.142569611,0.018075502,0.379935434
15,1,211318720,67,0.610339214,0.142569611,0.018075502,0.397259480
11,1,211318720,67,0.624701532,0.142569611,0.018075502,0.421581393
19,1,211318720,67,0.627341252,0.142569611,0.018075502,0.424191145
10,1,211318720,67,0.643503371,0.142569611,0.018075502,0.429060841
18,1,211318720,67,1.023389471,0.142569611,0.018075502,0.397282742
5,1,211318720,67,1.361863926,0.142569611,0.018075502,0.386803152
13,1,211318720,67,1.495437631,0.142569611,0.018075502,0.458035769
17,1,211318720,67,1.599400599,0.142569611,0.018075502,0.521071382
3,1,211318720,67,1.700957875,0.142569611,0.018075502,0.554067383
2,1,211318720,67,2.268943961,0.142569611,0.018075502,0.463373133
14,1,211318720,67,2.544931981,0.142569611,0.018075502,0.465285533
12,1,211318720,67,2.765186309,0.142569611,0.018075502,0.504475507
4,1,211318720,67,2.880615526,0.142569611,0.018075502,0.543969373
8,1,211318720,67,3.126812714,0.142569611,0.018075502,0.557974521
1,1,211318720,67,3.525039989,0.142569611,0.018075502,0.520430414
9,1,211318720,67,4.109191942,0.142569611,0.018075502,0.426115680
7,1,211318720,67,7.074987086,0.142569611,0.018075502,0.045731289
20,1,211318720,67,8.549843873,0.142569611,0.018075502,0.000004764
6,1,211318720,67,0.366534056,0.142569611,0.002621538,0.047582699
16,1,211318720,67,0.602709628,0.142569611,0.002621538,0.381677629
15,1,211318720,67,0.610339214,0.142569611,0.002621538,0.399842827
11,1,211318720,67,0.624701532,0.142569611,0.002621538,0.424227244
19,1,211318720,67,0.627341252,0.142569611,0.002621538,0.426943047
10,1,211318720,67,0.643503371,0.142569611,0.002621538,0.431870763
18,1,211318720,67,1.023389471,0.142569611,0.002621538,0.403270853
5,1,211318720,67,1.361863926,0.142569611,0.002621538,0.390504995
13,1,211318720,67,1.495437631,0.142569611,0.002621538,0.459446793
17,1,211318720,67,1.599400599,0.142569611,0.002621538,0.520470075
3,1,211318720,67,1.700957875,0.142569611,0.002621538,0.555039573
2,1,211318720,67,2.268943961,0.142569611,0.002621538,0.464148171
14,1,211318720,67,2.544931981,0.142569611,0.002621538,0.470613865
12,1,211318720,67,2.765186309,0.142569611,0.002621538,0.512422634
4,1,211318720,67,2.880615526,0.142569611,0.002621538,0.549532940
8,1,211318720,67,3.126812714,0.142569611,0.002621538,0.562837864
1,1,211318720,67,3.525039989,0.142569611,0.002621538,0.525730596
9,1,211318720,67,4.109191942,0.142569611,0.002621538,0.427202096
7,1,211318720,67,7.074987086,0.142569611,0.002621538,0.045519911
20,1,211318720,67,8.549843873,0.142569611,0.002621538,0.000004764
6,1,211318720,67,0.366534056,0.142569611,0.064840123,0.050016248
16,1,211318720,67,0.602709628,0.142569611,0.064840123,0.381937241
15,1,211318720,67,0.610339214,0.142569611,0.064840123,0.399789877
11,1,211318720,67,0.624701532,0.142569611,0.064840123,0.424161373
19,1,211318720,67,0.627341252,0.142569611,0.064840123,0.426463740
10,1,211318720,67,0.643503371,0.142569611,0.064840123,0.431959718
18,1,211318720,67,1.023389471,0.142569611,0.064840123,0.400924758
5,1,211318720,67,1.361863926,0.142569611,0.064840123,0.388919042
13,1,211318720,67,1.495437631,0.142569611,0.064840123,0.460725953
17,1,211318720,67,1.599400599,0.142569611,0.064840123,0.523247351
3,1,211318720,67,1.700957875,0.142569611,0.064840123,0.555804991
2,1,211318720,67,2.268943961,0.142569611,0.064840123,0.466145507
14,1,211318720,67,2.544931981,0.142569611,0.064840123,0.470549697
12,1,211318720,67,2.765186309,0.142569611,0.064840123,0.512057392
4,1,211318720,67,2.880615526,0.142569611,0.064840123,0.550978980
8,1,211318720,67,3.126812714,0.142569611,0.064840123,0.564203229
1,1,211318720,67,3.525039989,0.142569611,0.064840123,0.530235203
9,1,211318720,67,4.109191942,0.142569611,0.064840123,0.430754835
7,1,211318720,67,7.074987086,0.142569611,0.064840123,0.048365527
20,1,211318720,67,8.549843873,0.142569611,0.064840123,0.000004764
6,1,211318720,67,0.366534056,0.142569611,0.066984043,0.047972772
16,1,211318720,67,0.602709628,0.142569611,0.066984043,0.382278184
15,1,211318720,67,0.610339214,0.142569611,0.066984043,0.400330689
11,1,211318720,67,0.624701532,0.142569611,0.066984043,0.424090671
19,1,211318720,67,0.627341252,0.142569611,0.066984043,0.426830023
10,1,211318720,67,0.643503371,0.142569611,0.066984043,0.432498539
18,1,211318720,67,1.023389471,0.142569611,0.066984043,0.401867771
