client_id,mode,capacity_base_gflops,speedup,capacity_gflops
A_MIDSUMMER_NIGHT_S_DREAM_HIPPOLYTA,1,0.494154,1.000000,0.494154
KING_RICHARD_THE_SECOND_SERVANT,2,1.601326,1.000000,1.601326
THE_FIRST_PART_OF_HENRY_THE_SIXTH_KING_HENRY,1,0.577199,1.000000,0.577199
THE_LIFE_OF_KING_HENRY_THE_FIFTH_PISTOL,1,0.421425,1.000000,0.421425
THE_MERRY_WIVES_OF_WINDSOR_ROBIN,1,0.335821,1.000000,0.335821
THE_MERRY_WIVES_OF_WINDSOR_RUGBY,1,0.481459,1.000000,0.481459
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_MESSENGER,2,1.599542,1.000000,1.599542
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_SOLDIER,1,0.426548,1.000000,0.426548
THE_TWO_GENTLEMEN_OF_VERONA_SECOND_OUTLAW,1,0.520711,1.000000,0.520711
THE_WINTER_S_TALE_SHEPHERD,1,0.600619,1.000000,0.600619
f0014_19,2,1.677775,1.000000,1.677775
f0028_05,2,1.307847,1.000000,1.307847
f0051_42,1,0.510870,1.000000,0.510870
f0062_25,1,0.620331,1.000000,0.620331
f0066_37,2,1.428672,1.000000,1.428672
f0111_36,2,1.555126,1.000000,1.555126
f0153_35,2,1.563608,1.000000,1.563608
f0224_06,2,1.602815,1.000000,1.602815
f0233_14,2,1.576504,1.000000,1.576504
f0266_14,2,1.523735,1.000000,1.523735
f0268_19,1,0.600575,1.000000,0.600575
f0280_20,2,1.549667,1.000000,1.549667
f0281_47,2,1.465814,1.000000,1.465814
f0290_29,2,1.506522,1.000000,1.506522
f0299_33,1,0.739608,1.000000,0.739608
f0301_33,1,0.515633,1.000000,0.515633
f0304_23,2,1.528128,1.000000,1.528128
f0310_32,1,0.526326,1.000000,0.526326
f0326_35,1,0.540509,1.000000,0.540509
f0348_46,1,0.553529,1.000000,0.553529
f0363_43,2,1.598463,1.000000,1.598463
f0407_39,2,1.527505,1.000000,1.527505
f0423_04,1,0.353064,1.000000,0.353064
f0435_37,1,0.495108,1.000000,0.495108
f0463_09,2,1.523613,1.000000,1.523613
f0473_21,2,1.562540,1.000000,1.562540
f0529_06,2,1.393424,1.000000,1.393424
f0540_22,1,0.549729,1.000000,0.549729
f0548_49,1,0.627918,1.000000,0.627918
f0562_31,1,0.340833,1.000000,0.340833
f0579_26,2,1.259577,1.000000,1.259577
f0581_30,2,1.418608,1.000000,1.418608
f0621_33,2,1.501371,1.000000,1.501371
f0645_45,2,1.552756,1.000000,1.552756
f0651_45,2,1.415439,1.000000,1.415439
f0689_06,1,0.429115,1.000000,0.429115
f0698_45,1,0.689491,1.000000,0.689491
f0781_31,2,1.491703,1.000000,1.491703
f0790_06,1,0.473137,1.000000,0.473137
f0804_00,2,1.485895,1.000000,1.485895
f0811_49,1,0.675373,1.000000,0.675373
f0812_32,1,0.485763,1.000000,0.485763
f0814_03,1,0.452647,1.000000,0.452647
f0827_09,2,1.566494,1.000000,1.566494
f0837_08,1,0.381255,1.000000,0.381255
f0886_40,1,0.367155,1.000000,0.367155
f0900_42,1,0.706840,1.000000,0.706840
f0925_21,2,1.330468,1.000000,1.330468
f0961_08,2,1.452751,1.000000,1.452751
f0968_30,2,1.677114,1.000000,1.677114
f0986_02,2,1.584234,1.000000,1.584234
f1012_30,2,1.533153,1.000000,1.533153
f1013_47,1,0.394622,1.000000,0.394622
f1023_49,2,1.524277,1.000000,1.524277
f1055_16,2,1.659322,1.000000,1.659322
f1073_05,2,1.544203,1.000000,1.544203
f1080_00,1,0.440085,1.000000,0.440085
f1092_01,1,0.480964,1.000000,0.480964
f1111_02,1,0.755416,1.000000,0.755416
f1123_09,2,1.692511,1.000000,1.692511
f1125_41,1,0.499385,1.000000,0.499385
f1131_00,2,1.597652,1.000000,1.597652
f1136_31,2,1.537441,1.000000,1.537441
f1153_08,2,1.536524,1.000000,1.536524
f1175_48,2,1.372976,1.000000,1.372976
f1221_17,1,0.609908,1.000000,0.609908
f1224_16,2,1.779318,1.000000,1.779318
f1269_14,2,1.468099,1.000000,1.468099
f1284_38,2,1.378354,1.000000,1.378354
f1289_06,1,0.519199,1.000000,0.519199
f1292_22,1,0.353742,1.000000,0.353742
f1316_31,1,0.521988,1.000000,0.521988
f1341_45,1,0.450689,1.000000,0.450689
f1375_23,1,0.324387,1.000000,0.324387
f1382_07,1,0.454018,1.000000,0.454018
f1431_47,1,0.459905,1.000000,0.459905
f1495_32,1,0.546194,1.000000,0.546194
f1498_08,2,1.570909,1.000000,1.570909
f1529_23,1,0.483105,1.000000,0.483105
f1531_34,1,0.617929,1.000000,0.617929
f1603_40,1,0.537873,1.000000,0.537873
f1621_46,2,1.573051,1.000000,1.573051
f1673_32,1,0.660488,1.000000,0.660488
f1674_35,2,1.252411,1.000000,1.252411
f1691_07,1,0.493546,1.000000,0.493546
f1708_22,2,1.429068,1.000000,1.429068
f1715_20,2,1.481697,1.000000,1.481697
f1748_30,2,1.457038,1.000000,1.457038
f1773_18,1,0.375722,1.000000,0.375722
f1787_36,2,1.431487,1.000000,1.431487
f1793_33,2,1.225045,1.000000,1.225045
f1795_30,1,0.534299,1.000000,0.534299
f1798_42,2,1.260833,1.000000,1.260833
f1816_24,1,0.391649,1.000000,0.391649
f1860_06,1,0.412973,1.000000,0.412973
f1910_05,2,1.307729,1.000000,1.307729
f1926_49,1,0.346647,1.000000,0.346647
f1930_02,1,0.725221,1.000000,0.725221
f1942_21,1,0.521189,1.000000,0.521189
f1988_11,2,1.516589,1.000000,1.516589
f1993_19,2,1.589932,1.000000,1.589932
f1996_12,2,1.508644,1.000000,1.508644
f1998_10,2,1.354013,1.000000,1.354013
f2032_22,2,1.662430,1.000000,1.662430
f2037_06,2,1.503934,1.000000,1.503934
f2070_11,1,0.401434,1.000000,0.401434
f2071_28,2,1.410769,1.000000,1.410769
f2074_03,2,1.619979,1.000000,1.619979
f2115_77,1,0.369873,1.000000,0.369873
f2132_69,1,0.532125,1.000000,0.532125
f2144_67,2,1.681347,1.000000,1.681347
f2205_74,2,1.693945,1.000000,1.693945
f2206_73,2,1.659475,1.000000,1.659475
f2245_95,1,0.441643,1.000000,0.441643
f2256_71,2,1.601590,1.000000,1.601590
f2257_69,2,1.396399,1.000000,1.396399
f2265_80,2,1.532441,1.000000,1.532441
f2294_71,1,0.480387,1.000000,0.480387
f2341_65,1,0.802097,1.000000,0.802097
f2351_74,2,1.512946,1.000000,1.512946
f2365_62,1,0.518846,1.000000,0.518846
f2393_90,1,0.416487,1.000000,0.416487
f2402_75,1,0.398812,1.000000,0.398812
f2425_91,2,1.484999,1.000000,1.484999
f2456_71,1,0.611789,1.000000,0.611789
f2481_58,2,1.416128,1.000000,1.416128
f2486_95,2,1.596430,1.000000,1.596430
f2494_73,2,1.591216,1.000000,1.591216
f2533_94,1,0.632755,1.000000,0.632755
f2540_95,2,1.322138,1.000000,1.322138
f2551_80,2,1.511055,1.000000,1.511055
f2566_51,2,1.322336,1.000000,1.322336
f2587_73,2,1.404704,1.000000,1.404704
f3115_25,1,0.656720,1.000000,0.656720
f3122_40,1,0.244154,1.000000,0.244154
f3123_42,2,1.527945,1.000000,1.527945
f3133_33,1,0.450157,1.000000,0.450157
f3165_11,1,0.503676,1.000000,0.503676
f3194_31,1,0.537622,1.000000,0.537622
f3206_45,1,0.577273,1.000000,0.577273
f3210_22,2,1.657146,1.000000,1.657146
f3225_26,1,0.668898,1.000000,0.668898
f3242_19,1,0.527387,1.000000,0.527387
f3249_21,1,0.357807,1.000000,0.357807
f3317_25,2,1.349802,1.000000,1.349802
f3350_11,1,0.564574,1.000000,0.564574
f3364_36,2,1.475381,1.000000,1.475381
f3378_44,2,1.628217,1.000000,1.628217
f3382_25,2,1.222788,1.000000,1.222788
f3413_34,1,0.299038,1.000000,0.299038
f3425_47,1,0.712152,1.000000,0.712152
f3430_38,1,0.441900,1.000000,0.441900
f3440_33,2,1.310209,1.000000,1.310209
f3473_21,2,1.630706,1.000000,1.630706
f3491_31,2,1.445076,1.000000,1.445076
f3555_14,2,1.443387,1.000000,1.443387
f3574_30,1,0.397611,1.000000,0.397611
f3586_05,1,0.253979,1.000000,0.253979
f3594_23,2,1.562903,1.000000,1.562903
f3677_29,1,0.445402,1.000000,0.445402
f3710_43,1,0.529100,1.000000,0.529100
f3732_30,1,0.551451,1.000000,0.551451
f3746_12,1,0.684291,1.000000,0.684291
f3754_42,2,1.482297,1.000000,1.482297
f3756_06,1,0.849663,1.000000,0.849663
f3758_19,2,1.344423,1.000000,1.344423
f3781_28,2,1.419463,1.000000,1.419463
f3782_00,1,0.698111,1.000000,0.698111
f3785_26,2,1.601018,1.000000,1.601018
f3790_48,2,1.219966,1.000000,1.219966
f3796_14,2,1.478447,1.000000,1.478447
f3815_34,2,1.399512,1.000000,1.399512
f3857_01,1,0.460679,1.000000,0.460679
f3865_26,1,0.465514,1.000000,0.465514
f3867_42,1,0.384186,1.000000,0.384186
f3898_28,1,0.352927,1.000000,0.352927
f3902_40,1,0.402447,1.000000,0.402447
f3907_43,1,0.392633,1.000000,0.392633
f3938_46,2,1.546007,1.000000,1.546007
f3947_36,2,1.638637,1.000000,1.638637
f3949_09,2,1.401330,1.000000,1.401330
f4015_05,1,0.481203,1.000000,0.481203
f4020_15,1,0.478458,1.000000,0.478458
f4066_22,1,0.510859,1.000000,0.510859
