client_id,mode,capacity_gflops
ALLS_WELL_THAT_ENDS_WELL_HELENA,1,0.376128
AS_YOU_LIKE_IT_SILVIUS,1,0.543615
A_MIDSUMMER_NIGHT_S_DREAM_BOTTOM,2,1.423606
CYMBELINE_BELARIUS,2,1.564936
CYMBELINE_CLOTEN,1,0.649754
CYMBELINE_SICILIUS,2,1.503853
KING_HENRY_THE_EIGHTH_ANNE,2,1.426323
KING_HENRY_THE_EIGHTH_CROMWELL,1,0.325421
KING_HENRY_THE_EIGHTH_KATHARINE,2,1.528997
KING_HENRY_THE_EIGHTH_PORTER,1,0.421650
KING_RICHARD_III_MAYOR,2,1.591551
KING_RICHARD_III_SECOND_MURDERER,2,1.532270
LOVE_S_LABOUR_S_LOST_NATHANIEL,1,0.531444
MEASURE_FOR_MEASURE_ISABELLA,2,1.329152
SECOND_PART_OF_KING_HENRY_IV_CLARENCE,1,0.491842
SECOND_PART_OF_KING_HENRY_IV_SHALLOW,1,0.588730
SECOND_PART_OF_KING_HENRY_IV_WARWICK,1,0.565811
THE_COMEDY_OF_ERRORS_ABBESS,1,0.522557
THE_HISTORY_OF_TROILUS_AND_CRESSIDA_PANDARUS,2,1.375883
THE_LIFE_OF_KING_HENRY_THE_FIFTH_CANTERBURY,1,0.480842
THE_LIFE_OF_KING_HENRY_THE_FIFTH_CONSTABLE,2,1.553559
THE_LIFE_OF_KING_HENRY_THE_FIFTH_EXETER,1,0.660342
THE_LIFE_OF_KING_HENRY_THE_FIFTH_NYM,2,1.564564
THE_LIFE_OF_TIMON_OF_ATHENS_ALCIBIADES,2,1.556536
THE_LIFE_OF_TIMON_OF_ATHENS_FIRST_SENATOR,2,1.403208
THE_LIFE_OF_TIMON_OF_ATHENS_LUCULLIUS,2,1.447122
THE_MERRY_WIVES_OF_WINDSOR_EVANS,1,0.608022
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_GEORGE,1,0.350663
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_MESSENGER,1,0.491518
THE_TAMING_OF_THE_SHREW_GRUMIO,1,0.522781
THE_THIRD_PART_OF_KING_HENRY_THE_SIXTH_CLIFFORD,2,1.346084
THE_THIRD_PART_OF_KING_HENRY_THE_SIXTH_MONTAGUE,2,1.425640
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_OCTAVIA,2,1.435986
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_SCARUS,1,0.326225
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_SILIUS,2,1.424689
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_SOLDIER,1,0.506137
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_SOOTHSAYER,1,0.392037
THE_TRAGEDY_OF_CORIOLANUS_THIRD_CITIZEN,2,1.297728
THE_TRAGEDY_OF_HAMLET__PRINCE_OF_DENMARK_BER,2,1.585658
THE_TRAGEDY_OF_JULIUS_CAESAR_CINNA,2,1.528233
THE_TRAGEDY_OF_MACBETH_ALL,2,1.553772
THE_TRAGEDY_OF_MACBETH_OLD_MAN,1,0.393344
THE_WINTER_S_TALE_MARINER,1,0.469698
THE_WINTER_S_TALE_POLIXENES,1,0.408136
TWELFTH_NIGHT__OR__WHAT_YOU_WILL_ANTONIO,1,0.540115
TWELFTH_NIGHT__OR__WHAT_YOU_WILL_VIOLA,2,1.674141
