client_id,mode,capacity_base_gflops,speedup,capacity_gflops
A_MIDSUMMER_NIGHT_S_DREAM_HIPPOLYTA,1,0.494154,3.478261,1.718796
KING_RICHARD_THE_SECOND_SERVANT,2,1.601326,3.478261,5.569830
THE_FIRST_PART_OF_HENRY_THE_SIXTH_KING_HENRY,1,0.577199,3.478261,2.007649
THE_LIFE_OF_KING_HENRY_THE_FIFTH_PISTOL,1,0.421425,3.478261,1.465828
THE_MERRY_WIVES_OF_WINDSOR_ROBIN,1,0.335821,3.478261,1.168073
THE_MERRY_WIVES_OF_WINDSOR_RUGBY,1,0.481459,3.478261,1.674641
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_MESSENGER,2,1.599542,3.478261,5.563625
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_SOLDIER,1,0.426548,3.478261,1.483647
THE_TWO_GENTLEMEN_OF_VERONA_SECOND_OUTLAW,1,0.520711,3.478261,1.811167
THE_WINTER_S_TALE_SHEPHERD,1,0.600619,3.478261,2.089109
f0014_19,2,1.677775,3.478261,5.835738
f0028_05,2,1.307847,3.478261,4.549032
f0051_42,1,0.510870,3.478261,1.776940
f0062_25,1,0.620331,3.478261,2.157673
f0066_37,2,1.428672,3.478261,4.969294
f0111_36,2,1.555126,3.478261,5.409135
f0153_35,2,1.563608,3.478261,5.438636
f0224_06,2,1.602815,3.478261,5.575010
f0233_14,2,1.576504,3.478261,5.483492
f0266_14,2,1.523735,3.478261,5.299947
f0268_19,1,0.600575,3.478261,2.088957
f0280_20,2,1.549667,3.478261,5.390146
f0281_47,2,1.465814,3.478261,5.098483
f0290_29,2,1.506522,3.478261,5.240078
f0299_33,1,0.739608,3.478261,2.572549
f0301_33,1,0.515633,3.478261,1.793506
f0304_23,2,1.528128,3.478261,5.315228
f0310_32,1,0.526326,3.478261,1.830699
f0326_35,1,0.540509,3.478261,1.880031
f0348_46,1,0.553529,3.478261,1.925317
f0363_43,2,1.598463,3.478261,5.559873
f0407_39,2,1.527505,3.478261,5.313062
f0423_04,1,0.353064,3.478261,1.228048
f0435_37,1,0.495108,3.478261,1.722117
f0463_09,2,1.523613,3.478261,5.299524
f0473_21,2,1.562540,3.478261,5.434922
f0529_06,2,1.393424,3.478261,4.846692
f0540_22,1,0.549729,3.478261,1.912101
f0548_49,1,0.627918,3.478261,2.184061
f0562_31,1,0.340833,3.478261,1.185506
f0579_26,2,1.259577,3.478261,4.381139
f0581_30,2,1.418608,3.478261,4.934290
f0621_33,2,1.501371,3.478261,5.222160
f0645_45,2,1.552756,3.478261,5.400892
f0651_45,2,1.415439,3.478261,4.923267
f0689_06,1,0.429115,3.478261,1.492574
f0698_45,1,0.689491,3.478261,2.398229
f0781_31,2,1.491703,3.478261,5.188534
f0790_06,1,0.473137,3.478261,1.645694
f0804_00,2,1.485895,3.478261,5.168330
f0811_49,1,0.675373,3.478261,2.349125
f0812_32,1,0.485763,3.478261,1.689612
f0814_03,1,0.452647,3.478261,1.574426
f0827_09,2,1.566494,3.478261,5.448675
f0837_08,1,0.381255,3.478261,1.326106
