client_id,mode,capacity_base_gflops,speedup,capacity_gflops
ALLS_WELL_THAT_ENDS_WELL_HELENA,1,0.376128,1.428571,0.537326
AS_YOU_LIKE_IT_SILVIUS,1,0.543615,1.428571,0.776592
A_MIDSUMMER_NIGHT_S_DREAM_BOTTOM,2,1.423606,1.428571,2.033723
CYMBELINE_BELARIUS,2,1.564936,1.428571,2.235623
CYMBELINE_CLOTEN,1,0.649754,1.428571,0.928220
CYMBELINE_SICILIUS,2,1.503853,1.428571,2.148361
KING_HENRY_THE_EIGHTH_ANNE,2,1.426323,1.428571,2.037604
KING_HENRY_THE_EIGHTH_CROMWELL,1,0.325421,1.428571,0.464888
KING_HENRY_THE_EIGHTH_KATHARINE,2,1.528997,1.428571,2.184282
KING_HENRY_THE_EIGHTH_PORTER,1,0.421650,1.428571,0.602357
KING_RICHARD_III_MAYOR,2,1.591551,1.428571,2.273645
KING_RICHARD_III_SECOND_MURDERER,2,1.532270,1.428571,2.188957
LOVE_S_LABOUR_S_LOST_NATHANIEL,1,0.531444,1.428571,0.759206
MEASURE_FOR_MEASURE_ISABELLA,2,1.329152,1.428571,1.898788
SECOND_PART_OF_KING_HENRY_IV_CLARENCE,1,0.491842,1.428571,0.702632
SECOND_PART_OF_KING_HENRY_IV_SHALLOW,1,0.588730,1.428571,0.841042
SECOND_PART_OF_KING_HENRY_IV_WARWICK,1,0.565811,1.428571,0.808302
THE_COMEDY_OF_ERRORS_ABBESS,1,0.522557,1.428571,0.746510
THE_HISTORY_OF_TROILUS_AND_CRESSIDA_PANDARUS,2,1.375883,1.428571,1.965547
THE_LIFE_OF_KING_HENRY_THE_FIFTH_CANTERBURY,1,0.480842,1.428571,0.686917
THE_LIFE_OF_KING_HENRY_THE_FIFTH_CONSTABLE,2,1.553559,1.428571,2.219370
THE_LIFE_OF_KING_HENRY_THE_FIFTH_EXETER,1,0.660342,1.428571,0.943346
THE_LIFE_OF_KING_HENRY_THE_FIFTH_NYM,2,1.564564,1.428571,2.235092
THE_LIFE_OF_TIMON_OF_ATHENS_ALCIBIADES,2,1.556536,1.428571,2.223623
THE_LIFE_OF_TIMON_OF_ATHENS_FIRST_SENATOR,2,1.403208,1.428571,2.004583
THE_LIFE_OF_TIMON_OF_ATHENS_LUCULLIUS,2,1.447122,1.428571,2.067317
THE_MERRY_WIVES_OF_WINDSOR_EVANS,1,0.608022,1.428571,0.868603
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_GEORGE,1,0.350663,1.428571,0.500948
THE_SECOND_PART_OF_KING_HENRY_THE_SIXTH_MESSENGER,1,0.491518,1.428571,0.702169
THE_TAMING_OF_THE_SHREW_GRUMIO,1,0.522781,1.428571,0.746830
THE_THIRD_PART_OF_KING_HENRY_THE_SIXTH_CLIFFORD,2,1.346084,1.428571,1.922977
THE_THIRD_PART_OF_KING_HENRY_THE_SIXTH_MONTAGUE,2,1.425640,1.428571,2.036629
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_OCTAVIA,2,1.435986,1.428571,2.051408
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_SCARUS,1,0.326225,1.428571,0.466035
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_SILIUS,2,1.424689,1.428571,2.035271
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_SOLDIER,1,0.506137,1.428571,0.723053
THE_TRAGEDY_OF_ANTONY_AND_CLEOPATRA_SOOTHSAYER,1,0.392037,1.428571,0.560052
THE_TRAGEDY_OF_CORIOLANUS_THIRD_CITIZEN,2,1.297728,1.428571,1.853898
THE_TRAGEDY_OF_HAMLET__PRINCE_OF_DENMARK_BER,2,1.585658,1.428571,2.265226
THE_TRAGEDY_OF_JULIUS_CAESAR_CINNA,2,1.528233,1.428571,2.183190
THE_TRAGEDY_OF_MACBETH_ALL,2,1.553772,1.428571,2.219674
THE_TRAGEDY_OF_MACBETH_OLD_MAN,1,0.393344,1.428571,0.561920
THE_WINTER_S_TALE_MARINER,1,0.469698,1.428571,0.670997
THE_WINTER_S_TALE_POLIXENES,1,0.408136,1.428571,0.583051
TWELFTH_NIGHT__OR__WHAT_YOU_WILL_ANTONIO,1,0.540115,1.428571,0.771593
TWELFTH_NIGHT__OR__WHAT_YOU_WILL_VIOLA,2,1.674141,1.428571,2.391631
